cpu,lpm,transmit,listen,hops,d,_R,_Nb
54354,928668,8749,558558,2,67,250,90
18601,309084,2522,164359,1,135,250,90
15770,311908,310,188361,2,67,250,90
15296,312385,600,167684,1,135,250,90
19346,308107,2450,169752,2,67,250,90
13448,314010,400,184226,1,135,250,90
13440,314021,192,179978,1,135,250,90
15206,312246,400,185639,2,67,250,90
14994,312462,316,183811,1,135,250,90
20481,306975,2671,187720,2,67,250,90
19039,308418,2619,175783,1,135,250,90
15751,311933,341,188638,2,67,250,90
16145,311312,507,181458,2,67,250,90
15078,312374,649,172864,1,135,250,90
16141,311313,449,180084,2,67,250,90
18017,309435,623,173251,1,135,250,90
11785,315672,56,191778,1,135,250,90
13396,314063,169,180354,2,67,250,90
14729,312731,336,196946,2,67,250,90
16515,310954,587,171378,1,135,250,90
14388,313069,280,185194,2,67,250,90
14121,313335,215,175926,1,135,250,90
12792,314665,56,191539,1,135,250,90
16605,310860,2221,185636,1,135,250,90
15155,312296,457,196982,2,67,250,90
13904,313544,317,180995,1,135,250,90
15973,311485,343,195306,2,67,250,90
16389,311067,449,191529,2,67,250,90
14771,312690,555,177522,1,135,250,90
15512,311940,393,184079,2,67,250,90
15320,312134,428,176908,1,135,250,90
12336,315122,112,177929,2,67,250,90
14297,313164,329,188779,1,135,250,90
13391,314067,224,189456,2,67,250,90
16464,310990,484,178512,1,135,250,90
12356,315101,112,175167,2,67,250,90
14446,313011,373,175030,1,135,250,90
11785,315672,57,191264,1,135,250,90
11735,315732,55,191537,1,135,250,90
15168,312292,447,197026,2,67,250,90
16420,311037,504,197016,2,67,250,90
15844,311624,658,170916,1,135,250,90
14023,313432,168,174914,2,67,250,90
15590,311868,542,175670,1,135,250,90
14489,312969,336,189101,2,67,250,90
15420,312037,259,182776,1,135,250,90
13175,314282,113,187956,2,67,250,90
14063,313394,213,178024,1,135,250,90
13333,314125,112,185295,2,67,250,90
15655,311802,513,182709,1,135,250,90
13248,314210,112,187639,2,67,250,90
16376,311082,427,182911,1,135,250,90
12799,314659,56,192562,1,135,250,90
13372,314085,112,180110,2,67,250,90
15825,311636,338,196946,2,67,250,90
18300,309169,718,176979,1,135,250,90
15575,311879,337,182439,1,135,250,90
15040,312413,281,184802,2,67,250,90
16437,311025,395,184142,2,67,250,90
