cpu,lpm,transmit,listen,hops,d,_R,_Nb
54044,928975,8708,540346,2,90,250,52
15084,312598,321,179122,1,45,250,52
12844,314838,114,184302,2,90,250,52
15361,312094,362,183701,1,45,250,52
14205,313250,169,185367,2,90,250,52
15431,312027,362,184580,1,45,250,52
17440,310015,2329,179491,2,90,250,52
19176,308284,2486,179496,1,45,250,52
12746,314703,118,178771,2,90,250,52
15553,312132,422,178899,1,45,250,52
14046,313409,168,180689,2,90,250,52
16731,310726,472,186151,1,45,250,52
16858,310598,2214,184001,2,90,250,52
15465,311992,375,186040,1,45,250,52
11856,315590,57,184541,2,90,250,52
16353,311104,508,186389,1,45,250,52
12028,315439,55,182672,2,90,250,52
21773,305684,2897,167695,1,45,250,52
12549,314918,111,163989,2,90,250,52
15953,311498,605,184607,1,45,250,52
12916,314542,113,180182,2,90,250,52
16688,310767,429,177828,1,45,250,52
17225,310232,2223,174245,2,90,250,52
16813,310646,602,185129,1,45,250,52
13994,313451,229,184914,2,90,250,52
20081,307375,2806,178652,1,45,250,52
14455,313003,280,179486,2,90,250,52
15667,311782,430,185322,1,45,250,52
11893,315565,57,185045,2,90,250,52
14744,312714,316,186214,1,45,250,52
11874,315593,55,185288,2,90,250,52
14115,313343,314,187004,1,45,250,52
11984,315483,55,180150,2,90,250,52
14884,312573,417,186316,1,45,250,52
11933,315534,55,179091,2,90,250,52
14580,312879,361,187811,1,45,250,52
11954,315513,55,179859,2,90,250,52
15568,311889,516,186414,1,45,250,52
12019,315448,55,179866,2,90,250,52
14533,312924,415,187338,1,45,250,52
11953,315515,55,180395,2,90,250,52
16038,311419,527,185663,1,45,250,52
12005,315461,55,178946,2,90,250,52
17000,310459,885,184377,1,45,250,52
14217,313251,220,180830,2,90,250,52
15160,312299,418,185830,1,45,250,52
12091,315369,56,184290,2,90,250,52
16044,311413,506,187690,1,45,250,52
13071,314394,55,187106,2,90,250,52
17229,310228,581,185947,1,45,250,52
13189,314278,55,174907,2,90,250,52
16584,310873,425,185822,1,45,250,52
12932,314535,56,184013,2,90,250,52
17887,309570,710,185429,1,45,250,52
13873,313595,111,180559,2,90,250,52
22032,305428,2657,178535,1,45,250,52
13160,314297,56,177690,2,90,250,52
14463,312980,372,180076,1,45,250,52
13143,314324,55,175072,2,90,250,52
15101,312358,517,186398,1,45,250,52
12908,314558,55,184779,2,90,250,52
15762,311695,473,186650,1,45,250,52
13079,314388,55,182168,2,90,250,52
14769,312688,462,186633,1,45,250,52
12956,314511,55,186318,2,90,250,52
15824,311635,426,185815,1,45,250,52
12923,314544,55,183743,2,90,250,52
16046,311415,471,190814,1,45,250,52
12936,314532,55,188529,2,90,250,52
18039,309414,739,179608,1,45,250,52
13317,314150,55,170304,2,90,250,52
15708,311750,545,177796,1,45,250,52
18354,309110,2395,177228,2,90,250,52
14762,312695,365,185066,1,45,250,52
11926,315519,57,184538,2,90,250,52
19119,308343,1150,187259,1,45,250,52
14075,313392,166,171649,2,90,250,52
17063,310384,596,187055,1,45,250,52
11935,315523,56,180011,2,90,250,52
17286,310169,573,180258,1,45,250,52
12085,315384,55,180753,2,90,250,52
16559,310898,642,179393,1,45,250,52
13010,314456,110,186107,2,90,250,52
15377,312081,509,186906,1,45,250,52
12030,315427,56,180621,2,90,250,52
17012,310446,644,186966,1,45,250,52
12990,314477,110,180934,2,90,250,52
14541,312918,408,187866,1,45,250,52
11868,315589,56,187341,2,90,250,52
15368,312089,506,187164,1,45,250,52
11990,315477,55,179866,2,90,250,52
15493,311966,426,186101,1,45,250,52
11930,315537,55,184016,2,90,250,52
16544,310913,484,186640,1,45,250,52
12006,315461,55,176335,2,90,250,52
16610,310848,575,179002,1,45,250,52
12080,315388,55,179456,2,90,250,52
15155,312305,314,186739,1,45,250,52
12612,314860,55,180386,2,90,250,52
17492,309963,472,187961,1,45,250,52
12918,314547,56,182177,2,90,250,52
15807,311650,414,186325,1,45,250,52
12950,314517,55,179873,2,90,250,52
15632,311825,419,186347,1,45,250,52
12962,314505,56,185841,2,90,250,52
17123,310334,563,185667,1,45,250,52
12980,314487,56,185291,2,90,250,52
17504,309956,481,191611,1,45,250,52
12872,314595,55,184517,2,90,250,52
15390,312064,425,179315,1,45,250,52
13071,314396,55,174334,2,90,250,52
15618,311839,373,186549,1,45,250,52
12844,314623,55,185056,2,90,250,52
17528,309929,791,184135,1,45,250,52
14057,313410,166,185402,2,90,250,52
