time,_Eihop,_P0,hops,d,_R,_Nb
35518687,0.536,0.111,1,135,250,90
39636745,0.07,0.14,2,67,250,90
49472345,0.262,0.79,2,67,250,90
60356140,0.532,0.111,1,135,250,90
63228605,0.54,0.32,1,135,250,90
63743682,0.50,0.32,2,67,250,90
66043527,0.280,0.79,1,135,250,90
68566174,0.165,0.61,1,135,250,90
75331579,0.241,0.75,2,67,250,90
78751183,0.61,0.36,1,135,250,90
78941598,0.478,0.100,2,67,250,90
83019254,0.118,0.50,1,135,250,90
102669030,0.169,0.61,1,135,250,90
108909935,0.381,0.93,2,67,250,90
112481257,0.266,0.75,1,135,250,90
115175835,0.234,0.72,1,135,250,90
115360445,0.500,0.108,2,67,250,90
130004220,0.223,0.72,1,135,250,90
139434614,0.144,0.57,2,67,250,90
140016959,0.43,0.32,1,135,250,90
151763010,0.108,0.50,1,135,250,90
158032591,0.03,0.10,1,135,250,90
164285334,0.25,0.25,1,135,250,90
168384980,0.255,0.75,1,135,250,90
198938621,0.169,0.61,2,67,250,90
213175843,0.104,0.50,1,135,250,90
215713086,0.03,0.10,1,135,250,90
215876241,0.252,0.75,1,135,250,90
219282454,0.14,0.18,1,135,250,90
235004080,0.187,0.64,1,135,250,90
251254304,0.291,0.82,1,135,250,90
259644931,0.338,0.86,1,135,250,90
259798008,0.129,0.54,1,135,250,90
275688631,0.295,0.82,1,135,250,90
284450523,0.32,0.28,1,135,250,90
294082087,0.104,0.50,1,135,250,90
297997020,0.10,0.14,1,135,250,90
298213067,0.201,0.68,1,135,250,90
302335859,0.237,0.75,1,135,250,90
309079352,0.514,0.108,1,135,250,90
309431628,0.306,0.82,1,135,250,90
316059783,0.309,0.82,1,135,250,90
316219920,0.471,0.104,1,135,250,90
320509697,0.158,0.61,1,135,250,90
320869070,0.100,0.46,1,135,250,90
321212663,0.97,0.46,1,135,250,90
333728515,0.378,0.93,1,135,250,90
350513032,0.194,0.64,1,135,250,90
354291445,0.14,0.18,1,135,250,90
357860627,0.03,0.10,1,135,250,90
383028526,0.309,0.82,1,135,250,90
385153434,0.129,0.54,1,135,250,90
390166067,0.352,0.90,2,67,250,90
393032521,0.241,0.75,1,135,250,90
414641967,0.75,0.39,1,135,250,90
428341034,0.162,0.61,1,135,250,90
434988523,0.133,0.54,1,135,250,90
435157493,0.07,0.14,1,135,250,90
437454152,0.54,0.36,1,135,250,90
440153371,0.86,0.43,1,135,250,90
446923033,0.198,0.64,1,135,250,90
450668880,0.201,0.68,1,135,250,90
459994346,0.298,0.82,1,135,250,90
460313547,0.68,0.39,1,135,250,90
478166297,0.486,0.104,1,135,250,90
482103727,0.417,0.97,1,135,250,90
485885034,0.320,0.86,1,135,250,90
486063869,0.277,0.79,1,135,250,90
498204525,0.280,0.79,1,135,250,90
511060067,0.176,0.61,1,135,250,90
511220120,0.14,0.18,1,135,250,90
513563935,0.457,0.104,1,135,250,90
513704256,0.183,0.64,1,135,250,90
516419202,0.352,0.90,1,135,250,90
524072427,0.136,0.54,1,135,250,90
524228464,0.212,0.72,1,135,250,90
524407298,0.223,0.72,1,135,250,90
530309230,0.90,0.43,1,135,250,90
543559820,0.100,0.50,1,135,250,90
549806857,0.226,0.72,1,135,250,90
550126139,0.514,0.108,1,135,250,90
557103642,0.07,0.14,1,135,250,90
559582023,0.79,0.43,1,135,250,90
563016966,0.43,0.32,1,135,250,90
573891871,0.07,0.14,1,135,250,90
576378784,0.21,0.21,2,67,250,90
584075437,0.64,0.39,1,135,250,90
584415984,0.14,0.18,1,135,250,90
588728900,0.421,0.100,1,135,250,90
595509863,0.104,0.50,2,67,250,90
595853521,0.118,0.54,1,135,250,90
602613282,0.93,0.46,1,135,250,90
605837981,0.03,0.10,1,135,250,90
608519312,0.25,0.25,1,135,250,90
610853601,0.07,0.14,1,135,250,90
616572473,0.54,0.36,1,135,250,90
619769513,0.511,0.108,1,135,250,90
622634995,0.507,0.108,1,135,250,90
630300624,0.14,0.18,1,135,250,90
635481518,0.496,0.104,1,135,250,90
645322410,0.68,0.39,1,135,250,90
649572117,0.169,0.61,2,67,250,90
653541261,0.327,0.86,1,135,250,90
655856500,0.28,0.25,1,135,250,90
659950134,0.03,0.10,1,135,250,90
679606742,0.90,0.46,1,135,250,90
679938664,0.316,0.86,1,135,250,90
680135018,0.457,0.104,1,135,250,90
680501247,0.03,0.10,1,135,250,90
688012967,0.64,0.39,1,135,250,90
691934843,0.10,0.18,1,135,250,90
702095192,0.313,0.86,1,135,250,90
705869497,0.14,0.18,1,135,250,90
708885073,0.140,0.57,1,135,250,90
715119394,0.453,0.104,1,135,250,90
726197415,0.07,0.14,1,135,250,90
746900648,0.266,0.79,1,135,250,90
747079072,0.14,0.18,2,67,250,90
749789113,0.79,0.43,1,135,250,90
752988810,0.133,0.54,1,135,250,90
756379220,0.176,0.64,1,135,250,90
767254037,0.122,0.54,1,135,250,90
767642161,0.133,0.54,1,135,250,90
776363280,0.79,0.43,1,135,250,90
783313567,0.10,0.14,1,135,250,90
797450663,0.100,0.46,1,135,250,90
800504159,0.435,0.100,1,135,250,90
809785593,0.320,0.86,1,135,250,90
813322530,0.446,0.100,1,135,250,90
821035656,0.349,0.90,1,135,250,90
825275614,0.543,0.111,1,135,250,90
831376384,0.320,0.86,1,135,250,90
834762700,0.176,0.61,1,135,250,90
834922945,0.288,0.79,1,135,250,90
851887798,0.234,0.72,1,135,250,90
852259815,0.471,0.104,1,135,250,90
871025856,0.115,0.50,1,135,250,90
871173145,0.446,0.100,1,135,250,90
874925781,0.14,0.18,1,135,250,90
875110477,0.122,0.54,1,135,250,90
875322382,0.36,0.28,1,135,250,90
878519685,0.115,0.50,1,135,250,90
889915871,0.162,0.61,2,67,250,90
890141731,0.172,0.61,1,135,250,90
893681742,0.554,0.111,1,135,250,90
894040895,0.205,0.68,1,135,250,90
908141692,0.14,0.18,1,135,250,90
914220165,0.111,0.50,1,135,250,90
922638034,0.367,0.90,1,135,250,90
929044039,0.118,0.54,2,67,250,90
929938787,0.291,0.82,1,135,250,90
939563589,0.75,0.39,1,135,250,90
955472873,0.147,0.57,1,135,250,90
959574789,0.64,0.36,1,135,250,90
959775535,0.14,0.18,1,135,250,90
959922845,0.75,0.39,1,135,250,90
962606511,0.07,0.14,1,135,250,90
964957096,0.374,0.90,1,135,250,90
967454478,0.514,0.108,1,135,250,90
967782330,0.471,0.100,1,135,250,90
973309168,0.25,0.25,1,135,250,90
973509708,0.201,0.68,1,135,250,90
976728707,0.162,0.61,1,135,250,90
983837793,0.252,0.75,1,135,250,90
993884940,0.324,0.86,1,135,250,90
996525570,0.104,0.46,1,135,250,90
1000650481,0.478,0.104,1,135,250,90
1008509979,0.144,0.57,1,135,250,90
1010978226,0.64,0.39,2,67,250,90
1014416115,0.522,0.108,2,67,250,90
1018659911,0.349,0.90,2,67,250,90
1022606576,0.525,0.108,1,135,250,90
1025309695,0.122,0.54,1,135,250,90
1025447074,0.54,0.36,1,135,250,90
1025634848,0.75,0.39,1,135,250,90
1050110847,0.298,0.82,1,135,250,90
1052947388,0.86,0.43,1,135,250,90
1069016732,0.565,0.115,2,67,250,90
1079738378,0.169,0.61,1,135,250,90
1083504334,0.14,0.18,1,135,250,90
1083650653,0.442,0.100,1,135,250,90
1086197488,0.432,0.97,2,67,250,90
1089754123,0.172,0.61,1,135,250,90
1089931853,0.241,0.75,1,135,250,90
1095106440,0.32,0.28,1,135,250,90
1095266695,0.316,0.86,1,135,250,90
1095438541,0.244,0.72,1,135,250,90
1095657460,0.230,0.72,1,135,250,90
1095829499,0.262,0.75,1,135,250,90
1105653247,0.14,0.18,1,135,250,90
1116688639,0.421,0.97,1,135,250,90
1120628887,0.489,0.104,1,135,250,90
1123650331,0.324,0.86,1,135,250,90
1126541166,0.68,0.39,1,135,250,90
1126728546,0.82,0.43,2,67,250,90
1132438776,0.21,0.25,1,135,250,90
