time,_Eihop,_P0,hops,d,_R,_Nb
42294126,0.432,0.100,1,135,250,90
45668902,0.460,0.104,1,135,250,90
48359711,0.500,0.104,1,135,250,90
80663231,0.298,0.82,1,135,250,90
89241420,0.291,0.82,1,135,250,90
97107299,0.349,0.90,1,135,250,90
130316301,0.14,0.18,1,135,250,90
145304119,0.36,0.28,1,135,250,90
145660686,0.25,0.25,1,135,250,90
175488784,0.50,0.32,1,135,250,90
188348798,0.72,0.39,1,135,250,90
190492144,0.07,0.14,1,135,250,90
216207845,0.72,0.39,1,135,250,90
216551287,0.82,0.43,1,135,250,90
223700765,0.291,0.82,1,135,250,90
251380178,0.108,0.50,1,135,250,90
251551420,0.496,0.108,1,135,250,90
263685296,0.262,0.79,1,135,250,90
280648010,0.435,0.100,1,135,250,90
292989131,0.262,0.79,1,135,250,90
301023206,0.500,0.104,1,135,250,90
307254599,0.104,0.50,1,135,250,90
322973276,0.237,0.75,1,135,250,90
327629692,0.486,0.104,1,135,250,90
350116622,0.162,0.61,1,135,250,90
359219346,0.100,0.50,1,135,250,90
359591435,0.255,0.75,1,135,250,90
365109787,0.122,0.54,1,135,250,90
381372890,0.493,0.108,1,135,250,90
389048298,0.205,0.68,1,135,250,90
409566974,0.306,0.82,1,135,250,90
419747788,0.421,0.100,1,135,250,90
428147999,0.223,0.72,1,135,250,90
459035818,0.136,0.57,1,135,250,90
462973284,0.259,0.79,1,135,250,90
469755117,0.118,0.54,1,135,250,90
482598238,0.25,0.25,1,135,250,90
502772937,0.205,0.68,1,135,250,90
511351097,0.57,0.36,1,135,250,90
514210600,0.104,0.50,1,135,250,90
526700033,0.79,0.43,1,135,250,90
544567140,0.532,0.111,1,135,250,90
548497787,0.234,0.75,1,135,250,90
572410897,0.543,0.111,1,135,250,90
600622696,0.266,0.79,1,135,250,90
612782652,0.208,0.72,1,135,250,90
619016233,0.100,0.50,1,135,250,90
621708342,0.104,0.50,1,135,250,90
632782297,0.511,0.108,1,135,250,90
633138912,0.140,0.57,1,135,250,90
639023010,0.511,0.108,1,135,250,90
645638455,0.532,0.111,1,135,250,90
648297427,0.396,0.97,1,135,250,90
652594357,0.144,0.57,1,135,250,90
682406961,0.417,0.100,1,135,250,90
696344483,0.385,0.97,1,135,250,90
707051513,0.115,0.50,1,135,250,90
720266097,0.68,0.39,1,135,250,90
722935300,0.140,0.54,1,135,250,90
790094318,0.07,0.14,1,135,250,90
790450666,0.72,0.39,1,135,250,90
820434309,0.14,0.18,1,135,250,90
823297465,0.428,0.100,1,135,250,90
832047520,0.403,0.97,1,135,250,90
844366694,0.136,0.54,1,135,250,90
850075887,0.104,0.46,1,135,250,90
850435124,0.25,0.25,1,135,250,90
867766318,0.219,0.72,1,135,250,90
871319754,0.108,0.50,1,135,250,90
871676274,0.86,0.43,1,135,250,90
874013698,0.144,0.57,1,135,250,90
877388068,0.14,0.18,1,135,250,90
908825802,0.18,0.21,1,135,250,90
950778910,0.100,0.46,1,135,250,90
975257027,0.28,0.25,1,135,250,90
978109530,0.90,0.46,1,135,250,90
980772811,0.108,0.50,1,135,250,90
984719655,0.298,0.82,1,135,250,90
995069653,0.28,0.25,1,135,250,90
1016147936,0.165,0.61,1,135,250,90
1019520121,0.187,0.64,1,135,250,90
1028629539,0.104,0.50,1,135,250,90
1033460417,0.144,0.57,1,135,250,90
1072732204,0.554,0.111,1,135,250,90
1099703792,0.212,0.68,1,135,250,90
1115069685,0.54,0.36,1,135,250,90
1157029542,0.262,0.79,1,135,250,90
1157191987,0.108,0.50,1,135,250,90
1175420160,0.295,0.82,1,135,250,90
1186848937,0.140,0.57,1,135,250,90
1193991657,0.14,0.18,1,135,250,90
1211132381,0.223,0.72,1,135,250,90
1215406755,0.07,0.14,1,135,250,90
1219701480,0.504,0.108,1,135,250,90
1230757318,0.392,0.97,1,135,250,90
1238797345,0.36,0.28,1,135,250,90
1262016235,0.219,0.72,1,135,250,90
1265238997,0.07,0.14,1,135,250,90
1271645171,0.280,0.79,1,135,250,90
1275216429,0.489,0.104,1,135,250,90
1289507245,0.43,0.32,1,135,250,90
1297911434,0.313,0.82,1,135,250,90
1304325995,0.450,0.100,1,135,250,90
1317366652,0.03,0.10,1,135,250,90
1337716461,0.72,0.39,1,135,250,90
1341469156,0.72,0.39,1,135,250,90
1362366656,0.140,0.57,1,135,250,90
1388622755,0.219,0.72,1,135,250,90
1405028878,0.349,0.90,1,135,250,90
1414156754,0.306,0.82,1,135,250,90
1431281912,0.111,0.50,1,135,250,90
1431638292,0.288,0.82,1,135,250,90
1455203595,0.244,0.75,1,135,250,90
1470035847,0.496,0.108,1,135,250,90
1472522877,0.284,0.79,1,135,250,90
1476116641,0.25,0.25,1,135,250,90
1480398491,0.237,0.75,1,135,250,90
1494844155,0.68,0.39,1,135,250,90
1498244485,0.309,0.82,1,135,250,90
1504676374,0.165,0.61,1,135,250,90
1522879566,0.241,0.75,1,135,250,90
1525397768,0.61,0.36,1,135,250,90
1525754557,0.352,0.90,1,135,250,90
1528609748,0.43,0.32,1,135,250,90
1540216379,0.140,0.57,1,135,250,90
1554663525,0.410,0.97,1,135,250,90
1567707581,0.39,0.28,1,135,250,90
1581457700,0.435,0.100,1,135,250,90
1596286069,0.500,0.108,1,135,250,90
1601804316,0.460,0.104,1,135,250,90
1661638244,0.14,0.18,1,135,250,90
1668601031,0.288,0.82,1,135,250,90
1678223348,0.572,0.115,1,135,250,90
1685200851,0.345,0.90,1,135,250,90
1698063374,0.352,0.86,1,135,250,90
1704841503,0.500,0.108,1,135,250,90
1734294559,0.104,0.50,1,135,250,90
1744113811,0.14,0.18,1,135,250,90
1787504575,0.424,0.100,1,135,250,90
1791609672,0.176,0.64,1,135,250,90
1803945263,0.54,0.36,1,135,250,90
1812157554,0.392,0.93,1,135,250,90
1840007404,0.493,0.108,1,135,250,90
1847875851,0.421,0.100,1,135,250,90
1851083270,0.396,0.97,1,135,250,90
1859473279,0.154,0.61,1,135,250,90
1884278950,0.536,0.111,1,135,250,90
1895904133,0.482,0.104,1,135,250,90
1916616749,0.313,0.86,1,135,250,90
1920359732,0.450,0.100,1,135,250,90
1920535614,0.10,0.18,1,135,250,90
1923575627,0.07,0.14,1,135,250,90
1933566970,0.237,0.75,1,135,250,90
1937312828,0.554,0.115,1,135,250,90
1955888345,0.298,0.82,1,135,250,90
1956255117,0.118,0.54,1,135,250,90
1956419580,0.532,0.111,1,135,250,90
1966794543,0.388,0.97,1,135,250,90
1979632203,0.82,0.43,1,135,250,90
1983029009,0.489,0.108,1,135,250,90
1991429893,0.298,0.82,1,135,250,90
1997841339,0.64,0.39,1,135,250,90
1998200628,0.03,0.10,1,135,250,90
2014632305,0.144,0.57,1,135,250,90
2014810128,0.154,0.61,1,135,250,90
2033560093,0.03,0.10,1,135,250,90
2044629500,0.100,0.46,1,135,250,90
2069444816,0.421,0.97,1,135,250,90
2108554362,0.417,0.100,1,135,250,90
2121247802,0.140,0.57,1,135,250,90
2137844190,0.68,0.39,1,135,250,90
2150344391,0.468,0.104,1,135,250,90
2157485109,0.104,0.50,1,135,250,90
2181757508,0.464,0.104,1,135,250,90
2188547375,0.86,0.43,1,135,250,90
2195345117,0.244,0.75,1,135,250,90
2198898041,0.460,0.104,1,135,250,90
2206773680,0.147,0.57,1,135,250,90
2206951516,0.496,0.108,1,135,250,90
2228007281,0.03,0.07,1,135,250,90
2242288735,0.590,0.118,1,135,250,90
2242482666,0.291,0.82,1,135,250,90
2272297608,0.324,0.86,1,135,250,90
2272661361,0.46,0.32,1,135,250,90
2283026466,0.248,0.75,1,135,250,90
2286591472,0.82,0.43,1,135,250,90
2286942076,0.140,0.57,1,135,250,90
2289966392,0.428,0.97,1,135,250,90
2295866497,0.72,0.39,1,135,250,90
2307997767,0.122,0.54,1,135,250,90
2308357005,0.90,0.43,1,135,250,90
2321586121,0.216,0.72,1,135,250,90
2328013914,0.237,0.75,1,135,250,90
2338710447,0.183,0.64,1,135,250,90
2339083408,0.514,0.108,1,135,250,90
2344781669,0.140,0.57,1,135,250,90
2344973228,0.162,0.57,1,135,250,90
2388351067,0.266,0.79,1,135,250,90
2406045365,0.03,0.10,1,135,250,90
2406216611,0.543,0.111,1,135,250,90
2419250622,0.147,0.57,1,135,250,90
2449973406,0.396,0.93,1,135,250,90
2462467063,0.237,0.75,1,135,250,90
2468522907,0.158,0.61,1,135,250,90
2471220088,0.392,0.97,1,135,250,90
2475147866,0.392,0.97,1,135,250,90
2486563028,0.68,0.39,1,135,250,90
2496563161,0.396,0.93,1,135,250,90
2499953596,0.07,0.14,1,135,250,90
2500325876,0.428,0.100,1,135,250,90
2526754787,0.457,0.104,1,135,250,90
2533172381,0.262,0.79,1,135,250,90
2537278961,0.39,0.28,1,135,250,90
2537645284,0.226,0.72,1,135,250,90
2545310135,0.223,0.72,1,135,250,90
2552810191,0.158,0.61,1,135,250,90
2565319717,0.345,0.90,1,135,250,90
2580317718,0.554,0.111,1,135,250,90
2587622657,0.03,0.10,1,135,250,90
2631029069,0.486,0.104,1,135,250,90
2658163627,0.288,0.82,1,135,250,90
2664944612,0.54,0.36,1,135,250,90
2678520170,0.442,0.100,1,135,250,90
2700664051,0.360,0.90,1,135,250,90
2739226031,0.392,0.97,1,135,250,90
2748161468,0.446,0.100,1,135,250,90
2751551411,0.259,0.79,1,135,250,90
2789586052,0.410,0.97,1,135,250,90
2795475867,0.43,0.32,1,135,250,90
2801016310,0.259,0.79,1,135,250,90
2804929086,0.43,0.32,1,135,250,90
2805107004,0.291,0.82,1,135,250,90
2811551389,0.460,0.104,1,135,250,90
2817429188,0.295,0.82,1,135,250,90
2817613774,0.57,0.36,1,135,250,90
2842442065,0.252,0.75,1,135,250,90
2852966511,0.547,0.111,1,135,250,90
2853317006,0.399,0.97,1,135,250,90
2856707630,0.298,0.82,1,135,250,90
2889047525,0.46,0.32,1,135,250,90
2889575761,0.288,0.82,1,135,250,90
2901357059,0.39,0.28,1,135,250,90
2905285778,0.194,0.64,1,135,250,90
2961700718,0.90,0.43,1,135,250,90
2964566896,0.07,0.14,1,135,250,90
2967785795,0.532,0.111,1,135,250,90
3000107594,0.158,0.61,1,135,250,90
3003141732,0.54,0.36,1,135,250,90
3012778961,0.68,0.39,1,135,250,90
3019748256,0.140,0.57,1,135,250,90
3038132364,0.212,0.72,1,135,250,90
3050107105,0.579,0.118,1,135,250,90
3072607110,0.478,0.104,1,135,250,90
3088125507,0.234,0.75,1,135,250,90
3090997678,0.32,0.28,1,135,250,90
3093660689,0.223,0.72,1,135,250,90
3143301443,0.241,0.75,1,135,250,90
3151529006,0.136,0.57,1,135,250,90
3219716537,0.565,0.115,1,135,250,90
3234913531,0.266,0.79,1,135,250,90
3246161360,0.43,0.32,1,135,250,90
3261691962,0.68,0.39,1,135,250,90
3313833400,0.536,0.111,1,135,250,90
3314004498,0.266,0.79,1,135,250,90
3341685361,0.428,0.100,1,135,250,90
3368101225,0.489,0.104,1,135,250,90
3377575873,0.115,0.50,1,135,250,90
3384535853,0.532,0.111,1,135,250,90
3384888159,0.68,0.39,1,135,250,90
3397750530,0.14,0.18,1,135,250,90
3426313133,0.162,0.61,1,135,250,90
3432382372,0.212,0.68,1,135,250,90
3451145931,0.540,0.111,1,135,250,90
3453647899,0.165,0.61,1,135,250,90
3478460405,0.349,0.90,1,135,250,90
3478810145,0.518,0.108,1,135,250,90
3484719146,0.25,0.25,1,135,250,90
3485238912,0.435,0.100,1,135,250,90
3491145353,0.457,0.104,1,135,250,90
3506841404,0.14,0.18,1,135,250,90
3509360000,0.133,0.54,1,135,250,90
3534179157,0.230,0.72,1,135,250,90
3534520093,0.144,0.57,1,135,250,90
3540247600,0.136,0.54,1,135,250,90
3540598189,0.183,0.64,1,135,250,90
3545606912,0.414,0.97,1,135,250,90
3553091349,0.122,0.54,1,135,250,90
3558444641,0.86,0.43,1,135,250,90
3575051494,0.147,0.57,1,135,250,90
3575231932,0.14,0.18,1,135,250,90
3577547416,0.140,0.57,1,135,250,90
3583975891,0.82,0.43,1,135,250,90
3586676536,0.270,0.79,1,135,250,90
3590941812,0.68,0.39,1,135,250,90
3647207944,0.493,0.108,1,135,250,90
3664341534,0.140,0.57,1,135,250,90
3668266154,0.54,0.36,1,135,250,90
3697372737,0.493,0.108,1,135,250,90
3703078602,0.230,0.72,1,135,250,90
3706844441,0.248,0.75,1,135,250,90
3710038362,0.79,0.43,1,135,250,90
3712203666,0.550,0.115,1,135,250,90
3715216387,0.565,0.115,1,135,250,90
3718279132,0.529,0.111,1,135,250,90
3728966278,0.90,0.43,1,135,250,90
3731116649,0.302,0.82,1,135,250,90
3735219044,0.568,0.115,1,135,250,90
3744163430,0.25,0.25,1,135,250,90
3750757187,0.129,0.54,1,135,250,90
3757734999,0.374,0.93,1,135,250,90
3761285727,0.212,0.68,1,135,250,90
3764147755,0.367,0.90,1,135,250,90
3766288542,0.464,0.104,1,135,250,90
3771466365,0.572,0.115,1,135,250,90
3779676118,0.82,0.43,1,135,250,90
3840210327,0.79,0.43,1,135,250,90
3855207724,0.424,0.100,1,135,250,90
3861638420,0.493,0.104,1,135,250,90
3868609954,0.518,0.108,1,135,250,90
3869138260,0.162,0.61,1,135,250,90
3876641105,0.144,0.57,1,135,250,90
3887716405,0.64,0.39,1,135,250,90
3888255087,0.244,0.75,1,135,250,90
3890926186,0.54,0.36,1,135,250,90
3897348186,0.32,0.28,1,135,250,90
3900738815,0.241,0.75,1,135,250,90
3928250534,0.126,0.54,1,135,250,90
3934310094,0.79,0.43,1,135,250,90
3940203490,0.32,0.28,1,135,250,90
3951991584,0.64,0.39,1,135,250,90
3958251174,0.54,0.36,1,135,250,90
3967522866,0.68,0.39,1,135,250,90
3971270200,0.500,0.108,1,135,250,90
3999841358,0.388,0.97,1,135,250,90
4009141871,0.352,0.90,1,135,250,90
4017344253,0.03,0.10,1,135,250,90
4020372265,0.234,0.72,1,135,250,90
4032882376,0.259,0.79,1,135,250,90
4033238912,0.262,0.79,1,135,250,90
4033410651,0.93,0.46,1,135,250,90
4036625223,0.25,0.25,1,135,250,90
4037169518,0.439,0.100,1,135,250,90
4045919412,0.201,0.68,1,135,250,90
4051804025,0.32,0.28,1,135,250,90
4055029323,0.342,0.90,1,135,250,90
4063054150,0.298,0.82,1,135,250,90
4066817120,0.07,0.14,1,135,250,90
4073419932,0.50,0.36,1,135,250,90
4096273105,0.169,0.64,1,135,250,90
4104670200,0.439,0.100,1,135,250,90
4108422763,0.414,0.97,1,135,250,90
4114491624,0.07,0.14,1,135,250,90
4123757306,0.39,0.32,1,135,250,90
4182700925,0.165,0.61,1,135,250,90
4187879789,0.237,0.75,1,135,250,90
4195382399,0.43,0.32,1,135,250,90
4209828669,0.147,0.57,1,135,250,90
4221626361,0.14,0.18,1,135,250,90
4231616531,0.03,0.10,1,135,250,90
4256981986,0.244,0.75,1,135,250,90
4263935073,0.36,0.28,1,135,250,90
4272147946,0.194,0.64,1,135,250,90
4283586015,0.46,0.32,1,135,250,90
4283763823,0.165,0.61,1,135,250,90
4315000482,0.316,0.82,1,135,250,90
4336263448,0.208,0.68,1,135,250,90
4350531833,0.460,0.104,1,135,250,90
4367325736,0.46,0.32,1,135,250,90
4374297467,0.320,0.86,1,135,250,90
4384632265,0.14,0.18,1,135,250,90
4396970155,0.428,0.100,1,135,250,90
4404285749,0.237,0.75,1,135,250,90
4413028975,0.216,0.72,1,135,250,90
4418929225,0.435,0.100,1,135,250,90
4424812875,0.50,0.32,1,135,250,90
4437497684,0.381,0.93,1,135,250,90
4441066891,0.57,0.36,1,135,250,90
4447848179,0.39,0.28,1,135,250,90
4468754657,0.507,0.104,1,135,250,90
4484812945,0.360,0.93,1,135,250,90
4487482042,0.237,0.75,1,135,250,90
4495522899,0.230,0.72,1,135,250,90
4503748156,0.07,0.14,1,135,250,90
4503910653,0.14,0.18,1,135,250,90
4504098048,0.03,0.10,1,135,250,90
4509622548,0.356,0.90,1,135,250,90
4523022936,0.151,0.57,1,135,250,90
4523379543,0.442,0.100,1,135,250,90
4526232034,0.324,0.86,1,135,250,90
4537660754,0.306,0.82,1,135,250,90
4540357123,0.298,0.82,1,135,250,90
4545335178,0.68,0.39,1,135,250,90
4564281902,0.82,0.43,1,135,250,90
4574270028,0.43,0.32,1,135,250,90
4581766223,0.241,0.75,1,135,250,90
4588207844,0.392,0.97,1,135,250,90
4595156540,0.306,0.82,1,135,250,90
4610687975,0.295,0.82,1,135,250,90
4611060559,0.18,0.21,1,135,250,90
4616403939,0.158,0.61,1,135,250,90
4631235005,0.457,0.104,1,135,250,90
4637845086,0.126,0.54,1,135,250,90
4640882080,0.64,0.39,1,135,250,90
4643560105,0.284,0.79,1,135,250,90
