time,_Eihop,_P0,hops,d,_R,_Nb
33297398,0.10,0.18,2,67,250,90
42496158,0.568,0.129,1,135,250,90
50003905,0.248,0.86,1,135,250,90
50136562,0.730,0.147,2,67,250,90
50388076,0.313,0.93,2,67,250,90
50550098,0.219,0.82,1,135,250,90
51005626,0.18,0.25,2,67,250,90
57460369,0.583,0.122,1,135,250,90
61422527,0.82,0.50,1,135,250,90
68298029,0.226,0.82,2,67,250,90
74925263,0.21,0.25,2,67,250,90
77465535,0.111,0.54,1,135,250,90
81009535,0.43,0.36,2,67,250,90
84568702,0.46,0.32,1,135,250,90
88923965,0.219,0.82,2,67,250,90
93087952,0.32,0.32,2,67,250,90
107049878,0.61,0.43,2,67,250,90
110383549,0.176,0.72,1,135,250,90
113946476,0.136,0.61,2,67,250,90
126009413,0.104,0.54,1,135,250,90
128926295,0.64,0.43,2,67,250,90
133301700,0.306,0.93,1,135,250,90
133506240,0.133,0.64,2,67,250,90
137260025,0.108,0.50,1,135,250,90
137475153,0.648,0.140,1,135,250,90
137693665,0.32,0.32,1,135,250,90
138122683,0.295,0.93,1,135,250,90
138261736,0.133,0.64,1,135,250,90
141426638,0.208,0.79,1,135,250,90
152260593,0.61,0.43,1,135,250,90
152638053,0.18,0.25,1,135,250,90
155385620,0.136,0.64,1,135,250,90
158931144,0.25,0.25,1,135,250,90
161427718,0.378,0.108,2,67,250,90
161834323,0.291,0.93,1,135,250,90
165177991,0.626,0.136,2,67,250,90
172470051,0.561,0.129,2,67,250,90
176011773,0.32,0.28,1,135,250,90
176388272,0.626,0.129,1,135,250,90
185178764,0.21,0.25,2,67,250,90
185349948,0.306,0.93,1,135,250,90
185606970,0.604,0.133,2,67,250,90
189342613,0.32,0.25,1,135,250,90
192856721,0.144,0.64,2,67,250,90
205804900,0.10,0.18,1,135,250,90
214969113,0.07,0.18,1,135,250,90
215200758,0.28,0.28,1,135,250,90
221609553,0.03,0.10,2,67,250,90
221850078,0.399,0.108,1,135,250,90
225622670,0.32,0.32,1,135,250,90
230575452,0.295,0.93,2,67,250,90
233722936,0.118,0.57,1,135,250,90
233912196,0.18,0.25,2,67,250,90
239165357,0.428,0.115,1,135,250,90
243306783,0.655,0.136,1,135,250,90
249973674,0.86,0.50,1,135,250,90
253513351,0.320,0.97,1,135,250,90
262263758,0.266,0.86,1,135,250,90
262433924,0.565,0.126,1,135,250,90
265807935,0.342,0.100,1,135,250,90
265981867,0.144,0.64,1,135,250,90
266394082,0.21,0.25,2,67,250,90
274125686,0.216,0.75,1,135,250,90
274560171,0.514,0.122,2,67,250,90
274935019,0.702,0.147,1,135,250,90
275216466,0.144,0.64,1,135,250,90
275404035,0.468,0.118,1,135,250,90
275769066,0.615,0.133,1,135,250,90
280211988,0.183,0.72,2,67,250,90
283100041,0.25,0.25,1,135,250,90
287058669,0.79,0.46,2,67,250,90
290778695,0.10,0.18,1,135,250,90
291037583,0.07,0.18,1,135,250,90
291606614,0.46,0.39,2,67,250,90
302100062,0.86,0.50,1,135,250,90
305185691,0.43,0.36,2,67,250,90
318756345,0.10,0.18,2,67,250,90
319138222,0.259,0.90,2,67,250,90
324352326,0.122,0.61,2,67,250,90
327894479,0.190,0.72,1,135,250,90
328068708,0.169,0.68,1,135,250,90
328349993,0.342,0.104,2,67,250,90
328690883,0.03,0.10,1,135,250,90
331816052,0.129,0.64,2,67,250,90
335394667,0.583,0.122,1,135,250,90
335575531,0.97,0.54,1,135,250,90
335787210,0.144,0.64,1,135,250,90
352687070,0.79,0.46,1,135,250,90
352919683,0.633,0.133,1,135,250,90
365013214,0.464,0.118,2,67,250,90
365153605,0.622,0.136,2,67,250,90
365615358,0.18,0.25,2,67,250,90
376672435,0.162,0.72,1,135,250,90
379981870,0.03,0.10,1,135,250,90
383730248,0.61,0.43,1,135,250,90
386230374,0.18,0.25,1,135,250,90
389980371,0.93,0.50,2,67,250,90
393560309,0.403,0.108,1,135,250,90
396647463,0.75,0.46,1,135,250,90
401022751,0.349,0.104,1,135,250,90
413312044,0.90,0.50,1,135,250,90
413560157,0.662,0.136,2,67,250,90
413747677,0.237,0.82,1,135,250,90
414112764,0.61,0.43,1,135,250,90
418314921,0.28,0.28,2,67,250,90
421475162,0.237,0.82,1,135,250,90
421865650,0.489,0.118,1,135,250,90
422237588,0.25,0.25,1,135,250,90
