time,_Eihop,_P0,hops,d,_R,_Nb
35331450,0.738,0.165,1,135,250,90
39756829,0.255,0.93,2,67,250,90
40017062,0.320,0.108,1,135,250,90
42830506,0.147,0.75,1,135,250,90
49256876,0.21,0.28,1,135,250,90
49822290,0.241,0.97,2,67,250,90
54872046,0.21,0.28,1,135,250,90
57353982,0.82,0.57,1,135,250,90
64581268,0.532,0.144,1,135,250,90
66830918,0.32,0.36,1,135,250,90
74872254,0.867,0.180,2,67,250,90
82325171,0.446,0.129,1,135,250,90
82506455,0.82,0.57,2,67,250,90
82829764,0.190,0.86,2,67,250,90
90324729,0.252,0.93,1,135,250,90
93088377,0.140,0.64,1,135,250,90
96033080,0.147,0.75,1,135,250,90
96353451,0.183,0.82,2,67,250,90
101825073,0.172,0.79,2,67,250,90
107325221,0.424,0.122,1,135,250,90
110321472,0.115,0.68,2,67,250,90
114598369,0.158,0.72,2,67,250,90
114756727,0.115,0.68,2,67,250,90
115369427,0.133,0.68,1,135,250,90
115548590,0.18,0.28,1,135,250,90
118074915,0.630,0.147,2,67,250,90
118298589,0.28,0.32,1,135,250,90
118525495,0.07,0.18,2,67,250,90
121824685,0.57,0.46,2,67,250,90
126369132,0.32,0.36,2,67,250,90
126876773,0.219,0.86,2,67,250,90
127275686,0.230,0.93,1,135,250,90
127509585,0.579,0.144,2,67,250,90
128081215,0.93,0.43,1,135,250,90
132824795,0.259,0.86,2,67,250,90
140298597,0.86,0.57,1,135,250,90
140756499,0.230,0.93,2,67,250,90
145071879,0.28,0.32,2,67,250,90
148072177,0.565,0.140,1,135,250,90
148257234,0.450,0.129,1,135,250,90
148618938,0.82,0.57,1,135,250,90
154081143,0.403,0.126,1,135,250,90
157080860,0.54,0.46,1,135,250,90
163325214,0.133,0.68,2,67,250,90
167324867,0.554,0.140,2,67,250,90
167588416,0.424,0.118,1,135,250,90
167839444,0.118,0.61,1,135,250,90
178322106,0.07,0.18,2,67,250,90
178509918,0.230,0.93,1,135,250,90
178807042,0.460,0.133,2,67,250,90
179087863,0.770,0.169,2,67,250,90
184072211,0.507,0.126,1,135,250,90
190322105,0.129,0.68,2,67,250,90
193848503,0.183,0.79,1,135,250,90
198071511,0.259,0.93,2,67,250,90
198541536,0.453,0.122,2,67,250,90
201857045,0.410,0.118,1,135,250,90
208575122,0.381,0.118,2,67,250,90
211006923,0.723,0.162,1,135,250,90
215353549,0.07,0.18,2,67,250,90
215525937,0.468,0.126,1,135,250,90
215782815,0.21,0.28,2,67,250,90
216329985,0.565,0.140,1,135,250,90
221825213,0.237,0.97,1,135,250,90
224798588,0.03,0.14,1,135,250,90
225119709,0.716,0.158,2,67,250,90
