time,_Eihop,_P0,hops,d,_R,_Nb
36860630,0.165,0.61,1,135,250,90
50609891,0.417,0.97,1,135,250,90
50739370,0.21,0.21,1,135,250,90
78643768,0.07,0.14,2,67,250,90
101318208,0.97,0.46,1,135,250,90
128994527,0.82,0.43,1,135,250,90
132923069,0.298,0.82,1,135,250,90
138771356,0.14,0.18,1,135,250,90
182744031,0.136,0.54,1,135,250,90
183052719,0.406,0.97,1,135,250,90
207563430,0.471,0.104,1,135,250,90
217559817,0.126,0.54,1,135,250,90
244165066,0.90,0.46,1,135,250,90
256131398,0.280,0.79,1,135,250,90
267737622,0.183,0.64,1,135,250,90
270055708,0.518,0.108,1,135,250,90
292554295,0.108,0.50,1,135,250,90
303044133,0.421,0.97,1,135,250,90
322197697,0.03,0.10,1,135,250,90
325768741,0.32,0.28,1,135,250,90
338443843,0.241,0.75,1,135,250,90
342374858,0.288,0.82,1,135,250,90
348802991,0.82,0.43,1,135,250,90
377726494,0.14,0.18,1,135,250,90
378036960,0.111,0.50,1,135,250,90
378396344,0.493,0.108,1,135,250,90
378755660,0.464,0.104,1,135,250,90
386832880,0.104,0.50,1,135,250,90
406834394,0.79,0.43,1,135,250,90
418616525,0.43,0.32,1,135,250,90
432677805,0.442,0.100,1,135,250,90
457723552,0.03,0.10,1,135,250,90
462318209,0.10,0.14,1,135,250,90
466427519,0.410,0.97,1,135,250,90
483075904,0.176,0.57,1,135,250,90
489997254,0.468,0.104,1,135,250,90
492318344,0.565,0.115,1,135,250,90
512362785,0.54,0.36,1,135,250,90
518431247,0.288,0.82,1,135,250,90
521644529,0.36,0.28,1,135,250,90
528919164,0.259,0.75,1,135,250,90
536599593,0.03,0.10,1,135,250,90
548794654,0.129,0.54,1,135,250,90
569320732,0.32,0.28,1,135,250,90
588071386,0.298,0.82,1,135,250,90
594320608,0.03,0.10,1,135,250,90
607531246,0.226,0.72,1,135,250,90
610700171,0.03,0.10,1,135,250,90
610880844,0.162,0.61,1,135,250,90
639850270,0.104,0.50,1,135,250,90
655923179,0.46,0.32,1,135,250,90
661813025,0.540,0.111,1,135,250,90
671633974,0.320,0.86,1,135,250,90
678243287,0.572,0.115,1,135,250,90
681231876,0.259,0.79,1,135,250,90
724844089,0.511,0.108,1,135,250,90
728593517,0.64,0.39,1,135,250,90
732876833,0.118,0.54,1,135,250,90
751762818,0.396,0.97,1,135,250,90
759844219,0.57,0.36,1,135,250,90
781093109,0.381,0.93,1,135,250,90
781403596,0.302,0.82,1,135,250,90
798945517,0.39,0.28,1,135,250,90
808409269,0.262,0.79,1,135,250,90
813724663,0.198,0.68,1,135,250,90
816625874,0.25,0.25,1,135,250,90
856620086,0.198,0.68,1,135,250,90
869654818,0.79,0.43,1,135,250,90
877825440,0.205,0.68,1,135,250,90
900905406,0.61,0.36,1,135,250,90
903937938,0.79,0.43,1,135,250,90
907333497,0.43,0.32,1,135,250,90
907466034,0.453,0.104,1,135,250,90
925724994,0.266,0.79,1,135,250,90
932867488,0.345,0.90,1,135,250,90
941795558,0.525,0.111,1,135,250,90
949247186,0.324,0.86,1,135,250,90
952997042,0.03,0.10,1,135,250,90
970497018,0.75,0.39,1,135,250,90
979247631,0.532,0.111,1,135,250,90
1007504648,0.68,0.39,1,135,250,90
1013216087,0.230,0.72,1,135,250,90
1032321607,0.507,0.108,1,135,250,90
1049823215,0.136,0.54,1,135,250,90
1058754294,0.140,0.57,1,135,250,90
1061961032,0.388,0.93,1,135,250,90
1086069274,0.234,0.72,1,135,250,90
1102855795,0.205,0.68,1,135,250,90
1112318853,0.514,0.108,1,135,250,90
1116380932,0.266,0.79,1,135,250,90
1140841117,0.514,0.108,1,135,250,90
1144052652,0.136,0.54,1,135,250,90
1163387112,0.165,0.61,1,135,250,90
1178028228,0.140,0.57,1,135,250,90
1181242330,0.428,0.100,1,135,250,90
1185481602,0.151,0.57,1,135,250,90
1204633296,0.72,0.39,1,135,250,90
1209632908,0.349,0.90,1,135,250,90
1228917409,0.572,0.115,1,135,250,90
1229224497,0.381,0.93,1,135,250,90
1258911887,0.122,0.54,1,135,250,90
1259044059,0.208,0.68,1,135,250,90
1281410359,0.504,0.108,1,135,250,90
1296052069,0.25,0.25,1,135,250,90
1299934786,0.468,0.104,1,135,250,90
1311589817,0.07,0.14,1,135,250,90
1321410419,0.363,0.90,1,135,250,90
1327434549,0.54,0.36,1,135,250,90
1340158776,0.392,0.93,1,135,250,90
1346184977,0.14,0.18,1,135,250,90
1352479494,0.550,0.111,1,135,250,90
1375153303,0.108,0.50,1,135,250,90
1384441224,0.108,0.50,1,135,250,90
1388009491,0.180,0.64,1,135,250,90
1396537027,0.212,0.72,1,135,250,90
