time,_Eihop,_P0,hops,d,_R,_Nb
89770762,0.136,0.46,1,135,250,90
107270603,0.313,0.68,2,67,250,90
107580477,0.331,0.68,1,135,250,90
131170209,0.111,0.39,2,67,250,90
137583386,0.194,0.54,1,135,250,90
209927090,0.349,0.72,1,135,250,90
233676868,0.03,0.07,1,135,250,90
260236732,0.324,0.68,1,135,250,90
321799226,0.144,0.46,1,135,250,90
337736778,0.309,0.68,1,135,250,90
345701461,0.28,0.21,1,135,250,90
432420130,0.07,0.10,1,135,250,90
435545122,0.07,0.10,1,135,250,90
444142972,0.241,0.61,1,135,250,90
467739491,0.43,0.25,1,135,250,90
471489456,0.39,0.25,1,135,250,90
498052178,0.183,0.54,1,135,250,90
594770788,0.21,0.18,1,135,250,90
606958367,0.39,0.25,1,135,250,90
612732918,0.151,0.46,1,135,250,90
624926966,0.43,0.25,1,135,250,90
631020911,0.82,0.36,1,135,250,90
636645849,0.140,0.46,1,135,250,90
644295194,0.14,0.14,1,135,250,90
682889105,0.50,0.28,1,135,250,90
686326672,0.162,0.50,1,135,250,90
710552127,0.07,0.10,1,135,250,90
713205482,0.302,0.68,1,135,250,90
726802037,0.57,0.28,1,135,250,90
775701548,0.151,0.46,1,135,250,90
828201482,0.50,0.28,1,135,250,90
837732701,0.151,0.46,1,135,250,90
850551998,0.21,0.18,1,135,250,90
850861778,0.100,0.39,1,135,250,90
874143029,0.144,0.46,1,135,250,90
880861780,0.104,0.39,1,135,250,90
899455411,0.104,0.39,1,135,250,90
931013951,0.374,0.75,1,135,250,90
940232696,0.223,0.57,1,135,250,90
967114547,0.10,0.10,1,135,250,90
1025392960,0.21,0.18,1,135,250,90
1089138887,0.54,0.28,1,135,250,90
1117114604,0.187,0.54,1,135,250,90
1165388873,0.10,0.14,1,135,250,90
1240545194,0.162,0.50,1,135,250,90
1250701534,0.162,0.50,1,135,250,90
1277895739,0.10,0.14,1,135,250,90
1281170190,0.122,0.43,1,135,250,90
1293989622,0.327,0.72,1,135,250,90
1302263979,0.169,0.50,1,135,250,90
1302736711,0.187,0.54,1,135,250,90
1309614494,0.14,0.14,1,135,250,90
1391489463,0.64,0.32,1,135,250,90
1405392909,0.316,0.68,1,135,250,90
1420236654,0.07,0.10,1,135,250,90
1443357729,0.392,0.79,1,135,250,90
1471017905,0.90,0.36,1,135,250,90
1502267903,0.90,0.36,1,135,250,90
1525861655,0.21,0.18,1,135,250,90
1535705462,0.68,0.32,1,135,250,90
1543677187,0.295,0.68,1,135,250,90
1558518679,0.313,0.68,1,135,250,90
1598986722,0.302,0.68,1,135,250,90
1618208308,0.183,0.54,1,135,250,90
1666794221,0.248,0.61,1,135,250,90
1681330460,0.28,0.21,1,135,250,90
1690232382,0.57,0.28,1,135,250,90
1695864492,0.32,0.21,1,135,250,90
1704770776,0.190,0.54,1,135,250,90
1749455529,0.190,0.54,1,135,250,90
1793826375,0.43,0.25,1,135,250,90
1797420192,0.212,0.57,1,135,250,90
1803201259,0.03,0.07,1,135,250,90
1840857685,0.57,0.28,1,135,250,90
1847267974,0.273,0.64,1,135,250,90
1878989531,0.118,0.43,1,135,250,90
1889458204,0.57,0.28,1,135,250,90
1943205530,0.136,0.46,1,135,250,90
1951018028,0.190,0.54,1,135,250,90
1993201439,0.183,0.54,1,135,250,90
2052583417,0.324,0.72,1,135,250,90
2058206219,0.169,0.50,1,135,250,90
2070861778,0.237,0.61,1,135,250,90
2084920133,0.25,0.18,1,135,250,90
2090395719,0.03,0.07,1,135,250,90
2103208480,0.144,0.46,1,135,250,90
2116645863,0.64,0.32,1,135,250,90
2134611722,0.327,0.72,1,135,250,90
2158670290,0.306,0.68,1,135,250,90
2164927026,0.122,0.43,1,135,250,90
2193514155,0.100,0.39,1,135,250,90
2212736779,0.252,0.61,1,135,250,90
2221802122,0.334,0.72,1,135,250,90
2251642961,0.32,0.21,1,135,250,90
2292107686,0.82,0.36,1,135,250,90
2298051985,0.54,0.28,1,135,250,90
2298361647,0.14,0.14,1,135,250,90
2302107697,0.248,0.61,1,135,250,90
2306486780,0.280,0.64,1,135,250,90
2326955460,0.03,0.07,1,135,250,90
2340236780,0.126,0.43,1,135,250,90
2353514041,0.273,0.64,1,135,250,90
2384302034,0.162,0.50,1,135,250,90
2417736708,0.03,0.07,1,135,250,90
2450236711,0.331,0.72,1,135,250,90
2468677189,0.295,0.68,1,135,250,90
2471330477,0.126,0.43,1,135,250,90
2487114688,0.266,0.64,1,135,250,90
2552424159,0.03,0.07,1,135,250,90
2576489534,0.309,0.68,1,135,250,90
2597887789,0.313,0.68,1,135,250,90
2612267904,0.32,0.21,1,135,250,90
2619924248,0.165,0.50,1,135,250,90
2690551954,0.82,0.36,1,135,250,90
2769143030,0.277,0.64,1,135,250,90
2795705559,0.165,0.50,1,135,250,90
2825857701,0.165,0.50,1,135,250,90
2838670079,0.165,0.50,1,135,250,90
2913677057,0.334,0.72,1,135,250,90
2921333436,0.320,0.72,1,135,250,90
2924763981,0.234,0.61,1,135,250,90
2943361655,0.18,0.14,1,135,250,90
2951958437,0.190,0.54,1,135,250,90
2954458238,0.68,0.32,1,135,250,90
2971951446,0.313,0.68,1,135,250,90
2978674157,0.54,0.28,1,135,250,90
3059295117,0.36,0.21,1,135,250,90
3088205396,0.57,0.28,1,135,250,90
3104927058,0.309,0.68,1,135,250,90
3174294030,0.273,0.64,1,135,250,90
3186020937,0.244,0.61,1,135,250,90
3221951447,0.280,0.64,1,135,250,90
3237583213,0.64,0.32,1,135,250,90
3252739535,0.295,0.68,1,135,250,90
3279607619,0.86,0.36,1,135,250,90
3300708306,0.226,0.57,1,135,250,90
3304607499,0.61,0.32,1,135,250,90
3316333299,0.07,0.10,1,135,250,90
3316955469,0.104,0.39,1,135,250,90
3324143030,0.324,0.72,1,135,250,90
3327732672,0.295,0.68,1,135,250,90
3377264100,0.295,0.68,1,135,250,90
3445080409,0.144,0.46,1,135,250,90
3482427185,0.212,0.57,1,135,250,90
3520392900,0.28,0.21,1,135,250,90
3619142912,0.07,0.10,1,135,250,90
3627580529,0.169,0.50,1,135,250,90
3693987430,0.370,0.75,1,135,250,90
3718674084,0.28,0.21,1,135,250,90
3761639042,0.118,0.43,1,135,250,90
3766486779,0.208,0.57,1,135,250,90
3790239560,0.234,0.61,1,135,250,90
3798364690,0.349,0.72,1,135,250,90
3801014065,0.291,0.68,1,135,250,90
3828989558,0.273,0.64,1,135,250,90
3846645747,0.50,0.28,1,135,250,90
3887887820,0.370,0.75,1,135,250,90
3902895872,0.190,0.54,1,135,250,90
3914145786,0.147,0.46,1,135,250,90
3937736779,0.100,0.39,1,135,250,90
3938206150,0.136,0.46,1,135,250,90
3943986586,0.57,0.28,1,135,250,90
3954138943,0.108,0.39,1,135,250,90
3964926987,0.82,0.36,1,135,250,90
3972114621,0.356,0.75,1,135,250,90
3972581177,0.324,0.72,1,135,250,90
4033520844,0.190,0.54,1,135,250,90
4055080470,0.133,0.43,1,135,250,90
4090392960,0.277,0.64,1,135,250,90
4099302038,0.270,0.64,1,135,250,90
4106489666,0.162,0.50,1,135,250,90
4121014052,0.273,0.64,1,135,250,90
4161170425,0.237,0.61,1,135,250,90
4177107794,0.180,0.54,1,135,250,90
4189458420,0.216,0.57,1,135,250,90
4222889168,0.270,0.64,1,135,250,90
4238982701,0.244,0.61,1,135,250,90
4247739599,0.180,0.54,1,135,250,90
4250857773,0.162,0.50,1,135,250,90
4251174279,0.302,0.68,1,135,250,90
4259145787,0.97,0.39,1,135,250,90
4283201593,0.97,0.39,1,135,250,90
4299768028,0.237,0.61,1,135,250,90
4321641824,0.241,0.61,1,135,250,90
4327424210,0.14,0.14,1,135,250,90
4400392961,0.39,0.25,1,135,250,90
4447114730,0.244,0.61,1,135,250,90
4452732916,0.147,0.46,1,135,250,90
4486333351,0.309,0.68,1,135,250,90
4497420422,0.327,0.72,1,135,250,90
4528833309,0.244,0.61,1,135,250,90
4529455469,0.165,0.50,1,135,250,90
4533513945,0.370,0.75,1,135,250,90
4587420413,0.104,0.39,1,135,250,90
4626955529,0.151,0.46,1,135,250,90
4641795250,0.54,0.28,1,135,250,90
4648049279,0.205,0.54,1,135,250,90
4654767910,0.345,0.72,1,135,250,90
4718044222,0.313,0.68,1,135,250,90
4731177113,0.64,0.32,1,135,250,90
4763361780,0.248,0.61,1,135,250,90
4793674279,0.100,0.39,1,135,250,90
4840236660,0.187,0.54,1,135,250,90
4845864534,0.194,0.54,1,135,250,90
4849614564,0.165,0.50,1,135,250,90
4889614454,0.43,0.25,1,135,250,90
4925705559,0.216,0.57,1,135,250,90
4977114565,0.140,0.46,1,135,250,90
4981326253,0.28,0.21,1,135,250,90
5043044039,0.144,0.46,1,135,250,90
5098364462,0.03,0.07,1,135,250,90
5103982630,0.03,0.07,1,135,250,90
5146017905,0.50,0.28,1,135,250,90
5193826479,0.248,0.61,1,135,250,90
5232576479,0.338,0.72,1,135,250,90
5288364534,0.298,0.68,1,135,250,90
5327576437,0.82,0.36,1,135,250,90
5380861780,0.136,0.46,1,135,250,90
5386486779,0.122,0.43,1,135,250,90
5425231460,0.82,0.36,1,135,250,90
5449606615,0.39,0.25,1,135,250,90
5453518618,0.183,0.54,1,135,250,90
5504455407,0.39,0.25,1,135,250,90
5517583363,0.14,0.14,1,135,250,90
5526802187,0.244,0.61,1,135,250,90
5545392898,0.57,0.28,1,135,250,90
5555388944,0.198,0.54,1,135,250,90
5576489565,0.147,0.46,1,135,250,90
5597575595,0.334,0.72,1,135,250,90
5598049798,0.46,0.25,1,135,250,90
5600864567,0.194,0.54,1,135,250,90
5637263872,0.07,0.10,1,135,250,90
5661955404,0.32,0.21,1,135,250,90
5716020937,0.129,0.43,1,135,250,90
5756638005,0.334,0.72,1,135,250,90
5766020936,0.126,0.43,1,135,250,90
5768982694,0.180,0.54,1,135,250,90
5816645936,0.212,0.57,1,135,250,90
5829145784,0.162,0.50,1,135,250,90
5852114535,0.180,0.54,1,135,250,90
5864299220,0.342,0.72,1,135,250,90
5886645869,0.295,0.64,1,135,250,90
5889611659,0.172,0.50,1,135,250,90
5896955528,0.194,0.54,1,135,250,90
5919607695,0.349,0.72,1,135,250,90
5937111647,0.79,0.36,1,135,250,90
6035857686,0.21,0.18,1,135,250,90
6063208435,0.244,0.61,1,135,250,90
6072267899,0.14,0.14,1,135,250,90
6084142897,0.28,0.21,1,135,250,90
6093982722,0.302,0.68,1,135,250,90
6111333285,0.295,0.68,1,135,250,90
6149768029,0.237,0.61,1,135,250,90
6241489462,0.32,0.21,1,135,250,90
6256177067,0.255,0.64,1,135,250,90
6277887974,0.320,0.72,1,135,250,90
6285864464,0.82,0.36,1,135,250,90
6315549218,0.144,0.46,1,135,250,90
6331958435,0.363,0.75,1,135,250,90
6354456109,0.46,0.25,1,135,250,90
6359770776,0.298,0.68,1,135,250,90
6382114390,0.14,0.14,1,135,250,90
6395080470,0.190,0.54,1,135,250,90
6403830334,0.54,0.28,1,135,250,90
6413677035,0.144,0.46,1,135,250,90
6446799280,0.273,0.64,1,135,250,90
6502427035,0.212,0.57,1,135,250,90
6513830409,0.241,0.61,1,135,250,90
6557576479,0.356,0.75,1,135,250,90
6577583315,0.133,0.46,1,135,250,90
6594611723,0.255,0.64,1,135,250,90
6605392900,0.28,0.21,1,135,250,90
6617732625,0.54,0.28,1,135,250,90
6624770739,0.82,0.36,1,135,250,90
6661020936,0.183,0.54,1,135,250,90
6668986653,0.28,0.21,1,135,250,90
6735076196,0.363,0.75,1,135,250,90
6742426956,0.72,0.32,1,135,250,90
6746174805,0.03,0.07,1,135,250,90
6803833212,0.46,0.25,1,135,250,90
6852739621,0.194,0.54,1,135,250,90
6853049219,0.126,0.43,1,135,250,90
6887427047,0.82,0.36,1,135,250,90
6914920201,0.100,0.39,1,135,250,90
6922736779,0.349,0.72,1,135,250,90
6923049279,0.342,0.72,1,135,250,90
6962732680,0.64,0.32,1,135,250,90
6968674799,0.82,0.32,1,135,250,90
6978833254,0.118,0.43,1,135,250,90
6986333284,0.338,0.72,1,135,250,90
7000857700,0.241,0.61,1,135,250,90
7008826444,0.136,0.46,1,135,250,90
7009142835,0.14,0.14,1,135,250,90
7031017908,0.93,0.36,1,135,250,90
7039920194,0.144,0.46,1,135,250,90
7089770809,0.223,0.57,1,135,250,90
7101795255,0.248,0.61,1,135,250,90
7141950472,0.342,0.72,1,135,250,90
7164302034,0.338,0.72,1,135,250,90
7181177058,0.327,0.72,1,135,250,90
7197107729,0.334,0.72,1,135,250,90
