time,_Eihop,_P0,hops,d,_R,_Nb
54031690,0.100,0.21,1,135,250,90
115091390,0.28,0.10,1,135,250,90
135225328,0.03,0.03,1,135,250,90
152985005,0.82,0.18,1,135,250,90
165622633,0.50,0.14,1,135,250,90
183912747,0.03,0.07,1,135,250,90
190094405,0.18,0.07,1,135,250,90
227860029,0.10,0.07,1,135,250,90
273790729,0.46,0.14,1,135,250,90
325107041,0.03,0.03,1,135,250,90
343662724,0.10,0.07,1,135,250,90
387875713,0.82,0.18,1,135,250,90
486306379,0.03,0.03,1,135,250,90
492490943,0.14,0.07,1,135,250,90
518414721,0.10,0.07,1,135,250,90
540922681,0.54,0.14,1,135,250,90
622509471,0.03,0.03,1,135,250,90
622638749,0.03,0.03,1,135,250,90
682115928,0.32,0.10,1,135,250,90
763310193,0.28,0.10,1,135,250,90
813975302,0.14,0.07,1,135,250,90
914243690,0.03,0.03,1,135,250,90
943063182,0.18,0.07,1,135,250,90
987149857,0.03,0.03,1,135,250,90
1051497733,0.86,0.18,1,135,250,90
1062025107,0.82,0.18,1,135,250,90
1103603232,0.28,0.10,1,135,250,90
1130188217,0.10,0.07,1,135,250,90
1157165764,0.28,0.10,1,135,250,90
1190850236,0.28,0.10,1,135,250,90
1196641285,0.32,0.10,1,135,250,90
1217172596,0.50,0.14,1,135,250,90
1236384456,0.32,0.10,1,135,250,90
1249672474,0.10,0.07,1,135,250,90
1259014051,0.86,0.18,1,135,250,90
1320600220,0.28,0.10,1,135,250,90
1351131561,0.57,0.14,1,135,250,90
1406922557,0.32,0.10,1,135,250,90
1439162731,0.82,0.18,1,135,250,90
1449953714,0.03,0.03,1,135,250,90
1471797587,0.82,0.18,1,135,250,90
1554834605,0.86,0.18,1,135,250,90
1591810105,0.03,0.03,1,135,250,90
1610763250,0.32,0.10,1,135,250,90
1669318972,0.50,0.14,1,135,250,90
1783016370,0.36,0.10,1,135,250,90
1802225233,0.57,0.14,1,135,250,90
1843415564,0.14,0.07,1,135,250,90
1883945720,0.50,0.14,1,135,250,90
1909212346,0.14,0.07,1,135,250,90
1930131508,0.03,0.03,1,135,250,90
1946322007,0.03,0.03,1,135,250,90
1997775097,0.18,0.07,1,135,250,90
2008959628,0.28,0.10,1,135,250,90
2055803880,0.86,0.18,1,135,250,90
2129235129,0.86,0.18,1,135,250,90
2143969508,0.18,0.07,1,135,250,90
2213188186,0.14,0.07,1,135,250,90
2300695925,0.28,0.10,1,135,250,90
2301091375,0.32,0.10,1,135,250,90
2359778874,0.14,0.07,1,135,250,90
2425185097,0.28,0.10,1,135,250,90
2478740009,0.14,0.07,1,135,250,90
2674810136,0.03,0.03,1,135,250,90
2696787730,0.75,0.18,1,135,250,90
2747453870,0.54,0.14,1,135,250,90
2759688054,0.54,0.14,1,135,250,90
2797716347,0.54,0.14,1,135,250,90
2827719462,0.50,0.14,1,135,250,90
2861938187,0.03,0.03,1,135,250,90
2878649938,0.10,0.07,1,135,250,90
2885756471,0.50,0.14,1,135,250,90
2895360027,0.28,0.10,1,135,250,90
2963522209,0.79,0.18,1,135,250,90
2980631551,0.79,0.18,1,135,250,90
3026560131,0.86,0.18,1,135,250,90
3040638310,0.79,0.18,1,135,250,90
3292766272,0.32,0.10,1,135,250,90
3298560099,0.14,0.07,1,135,250,90
3316450818,0.28,0.10,1,135,250,90
3411856970,0.36,0.10,1,135,250,90
3414622623,0.61,0.14,1,135,250,90
3465678461,0.32,0.10,1,135,250,90
3497522077,0.14,0.07,1,135,250,90
3555422531,0.03,0.03,1,135,250,90
3591875711,0.79,0.18,1,135,250,90
3661485149,0.14,0.07,1,135,250,90
3666750683,0.32,0.10,1,135,250,90
3726228214,0.28,0.10,1,135,250,90
3752153949,0.03,0.03,1,135,250,90
3774787733,0.32,0.10,1,135,250,90
3789528874,0.14,0.07,1,135,250,90
3828212564,0.75,0.18,1,135,250,90
3835844455,0.82,0.18,1,135,250,90
3860850301,0.50,0.14,1,135,250,90
3889141117,0.61,0.14,1,135,250,90
3912829512,0.50,0.14,1,135,250,90
4025341347,0.82,0.18,1,135,250,90
4041922585,0.82,0.18,1,135,250,90
4062841351,0.79,0.18,1,135,250,90
4079556189,0.61,0.14,1,135,250,90
4089162764,0.10,0.07,1,135,250,90
4118766381,0.57,0.14,1,135,250,90
4185357010,0.36,0.10,1,135,250,90
4195747698,0.03,0.03,1,135,250,90
4212200828,0.36,0.10,1,135,250,90
4266547597,0.10,0.07,1,135,250,90
4266678705,0.61,0.14,1,135,250,90
4372872660,0.28,0.10,1,135,250,90
4375638220,0.14,0.07,1,135,250,90
4403138286,0.82,0.18,1,135,250,90
4418931164,0.28,0.10,1,135,250,90
4430772209,0.03,0.03,1,135,250,90
4433665477,0.14,0.07,1,135,250,90
4450903904,0.79,0.18,1,135,250,90
4473935127,0.61,0.14,1,135,250,90
4500384035,0.54,0.14,1,135,250,90
4531047578,0.28,0.10,1,135,250,90
4575522096,0.86,0.18,1,135,250,90
4666982037,0.79,0.18,1,135,250,90
4733172586,0.86,0.18,1,135,250,90
4751594401,0.36,0.10,1,135,250,90
4759884282,0.82,0.18,1,135,250,90
4781203829,0.82,0.18,1,135,250,90
4825547463,0.03,0.03,1,135,250,90
4838047586,0.50,0.14,1,135,250,90
4917400099,0.03,0.03,1,135,250,90
4927266298,0.28,0.10,1,135,250,90
4993459603,0.32,0.10,1,135,250,90
5026359987,0.82,0.18,1,135,250,90
5096888317,0.79,0.18,1,135,250,90
5130181157,0.28,0.10,1,135,250,90
5158740888,0.79,0.18,1,135,250,90
5200584636,0.18,0.07,1,135,250,90
5265725222,0.14,0.07,1,135,250,90
5349149941,0.03,0.03,1,135,250,90
5444294471,0.57,0.14,1,135,250,90
5489821993,0.32,0.10,1,135,250,90
5568516269,0.57,0.14,1,135,250,90
5610625643,0.57,0.14,1,135,250,90
5716162782,0.61,0.14,1,135,250,90
5723531959,0.14,0.07,1,135,250,90
5726428378,0.75,0.18,1,135,250,90
5734716378,0.86,0.18,1,135,250,90
5760638189,0.28,0.10,1,135,250,90
5849860608,0.32,0.10,1,135,250,90
5936185065,0.32,0.10,1,135,250,90
5959078800,0.82,0.18,1,135,250,90
5983688181,0.25,0.10,1,135,250,90
6026853069,0.18,0.07,1,135,250,90
6042247602,0.82,0.18,1,135,250,90
6074747595,0.46,0.14,1,135,250,90
6138178427,0.14,0.07,1,135,250,90
6175156925,0.54,0.14,1,135,250,90
6204891268,0.10,0.07,1,135,250,90
6235553346,0.57,0.14,1,135,250,90
6256344454,0.28,0.10,1,135,250,90
6292141400,0.03,0.03,1,135,250,90
6665462373,0.32,0.10,1,135,250,90
6735469331,0.43,0.14,1,135,250,90
6757844498,0.03,0.03,1,135,250,90
6774688121,0.86,0.18,1,135,250,90
6795607006,0.03,0.03,1,135,250,90
6827850291,0.61,0.14,1,135,250,90
6868115888,0.14,0.07,1,135,250,90
6881803417,0.57,0.14,1,135,250,90
6989047548,0.32,0.10,1,135,250,90
7021946817,0.18,0.07,1,135,250,90
7026024906,0.28,0.10,1,135,250,90
7050763220,0.86,0.18,1,135,250,90
7062740886,0.14,0.07,1,135,250,90
7106953807,0.61,0.14,1,135,250,90
7211044600,0.28,0.10,1,135,250,90
7228415470,0.43,0.14,1,135,250,90
7280522169,0.18,0.07,1,135,250,90
7400407565,0.14,0.07,1,135,250,90
7424881442,0.54,0.14,1,135,250,90
7444095128,0.79,0.18,1,135,250,90
7477122666,0.03,0.03,1,135,250,90
7514365910,0.86,0.18,1,135,250,90
7538053258,0.82,0.18,1,135,250,90
7559631444,0.54,0.14,1,135,250,90
7607138287,0.82,0.18,1,135,250,90
