time,_Eihop,_P0,hops,d,_R,_Nb
45756650,0.57,0.28,1,135,250,90
54652815,0.277,0.64,1,135,250,90
54808885,0.25,0.18,1,135,250,90
54956640,0.54,0.28,1,135,250,90
82153091,0.39,0.25,1,135,250,90
94184552,0.194,0.54,1,135,250,90
105296696,0.151,0.46,1,135,250,90
113550530,0.28,0.21,2,67,250,90
121382024,0.108,0.39,1,135,250,90
121528266,0.169,0.50,1,135,250,90
121676329,0.57,0.28,1,135,250,90
146841050,0.32,0.21,1,135,250,90
167934794,0.46,0.25,1,135,250,90
182469110,0.327,0.72,1,135,250,90
185597932,0.244,0.61,1,135,250,90
189825576,0.50,0.28,1,135,250,90
209176691,0.21,0.18,1,135,250,90
225137902,0.25,0.18,1,135,250,90
234953397,0.21,0.18,1,135,250,90
235285360,0.144,0.46,1,135,250,90
258238399,0.111,0.39,1,135,250,90
266858513,0.187,0.54,1,135,250,90
271988460,0.345,0.72,1,135,250,90
278090924,0.21,0.18,1,135,250,90
281850918,0.338,0.72,1,135,250,90
296694817,0.144,0.46,1,135,250,90
307147653,0.21,0.18,1,135,250,90
314663374,0.10,0.14,1,135,250,90
339819653,0.345,0.72,1,135,250,90
342794400,0.244,0.61,1,135,250,90
346050899,0.270,0.64,1,135,250,90
387169270,0.194,0.54,1,135,250,90
389816596,0.82,0.36,1,135,250,90
401850943,0.324,0.68,1,135,250,90
414825549,0.309,0.68,1,135,250,90
414965900,0.363,0.75,1,135,250,90
426835169,0.144,0.46,1,135,250,90
429644632,0.07,0.10,1,135,250,90
438085101,0.241,0.61,1,135,250,90
448094052,0.244,0.61,1,135,250,90
451856768,0.241,0.61,1,135,250,90
465600905,0.118,0.39,1,135,250,90
481069782,0.64,0.32,1,135,250,90
481388012,0.21,0.18,1,135,250,90
490919304,0.241,0.61,1,135,250,90
493265667,0.57,0.28,1,135,250,90
518397751,0.165,0.50,1,135,250,90
552013213,0.147,0.46,1,135,250,90
555750346,0.39,0.25,1,135,250,90
559656471,0.21,0.18,1,135,250,90
563090948,0.90,0.36,1,135,250,90
591550364,0.270,0.64,1,135,250,90
597297350,0.82,0.36,1,135,250,90
614809762,0.03,0.07,1,135,250,90
615129182,0.392,0.79,1,135,250,90
617950520,0.345,0.72,1,135,250,90
620600714,0.61,0.32,1,135,250,90
642013213,0.324,0.68,1,135,250,90
683390838,0.72,0.32,1,135,250,90
703550948,0.324,0.72,1,135,250,90
713247261,0.122,0.43,1,135,250,90
762785393,0.172,0.50,1,135,250,90
769038399,0.342,0.72,1,135,250,90
775763096,0.190,0.54,1,135,250,90
789957161,0.388,0.79,1,135,250,90
792481858,0.248,0.61,1,135,250,90
808082221,0.144,0.46,1,135,250,90
812000184,0.28,0.21,1,135,250,90
815741374,0.208,0.57,1,135,250,90
818715958,0.234,0.61,1,135,250,90
830597861,0.111,0.39,1,135,250,90
833419164,0.388,0.79,1,135,250,90
833715816,0.72,0.32,1,135,250,90
841210069,0.331,0.72,1,135,250,90
841519635,0.370,0.75,1,135,250,90
868547227,0.244,0.61,1,135,250,90
868872073,0.28,0.21,1,135,250,90
869356642,0.360,0.75,1,135,250,90
887788363,0.90,0.36,1,135,250,90
895444615,0.342,0.72,1,135,250,90
913863337,0.10,0.14,1,135,250,90
925903446,0.68,0.32,1,135,250,90
936225863,0.21,0.18,1,135,250,90
985734589,0.14,0.14,1,135,250,90
995754146,0.212,0.57,1,135,250,90
1007303849,0.302,0.68,1,135,250,90
1010606531,0.86,0.36,1,135,250,90
1028725980,0.136,0.46,1,135,250,90
1034491285,0.32,0.21,1,135,250,90
1056835159,0.03,0.07,1,135,250,90
1073723010,0.280,0.64,1,135,250,90
1097141016,0.327,0.72,1,135,250,90
1119500223,0.28,0.21,1,135,250,90
1129825642,0.234,0.61,1,135,250,90
1140903488,0.21,0.18,1,135,250,90
1149340899,0.212,0.57,1,135,250,90
1173263256,0.144,0.46,1,135,250,90
1184175951,0.273,0.64,1,135,250,90
1199800850,0.68,0.32,1,135,250,90
1215741399,0.118,0.43,1,135,250,90
1224172156,0.201,0.57,1,135,250,90
1227300916,0.136,0.46,1,135,250,90
1259497070,0.64,0.32,1,135,250,90
1270913177,0.79,0.36,1,135,250,90
