time,_Eihop,_P0,hops,d,_R,_Nb
34426083,0.507,0.136,2,67,250,90
42897988,0.849,0.176,1,135,250,90
43144972,0.342,0.115,1,135,250,90
43417491,0.435,0.126,2,67,250,90
46628825,0.205,0.86,1,135,250,90
50464387,0.115,0.64,2,67,250,90
50644757,0.601,0.151,1,135,250,90
54725463,0.75,0.50,2,67,250,90
55144592,0.90,0.54,1,135,250,90
59872091,0.698,0.165,1,135,250,90
64958983,0.712,0.165,1,135,250,90
75683401,0.403,0.126,2,67,250,90
84464865,0.475,0.136,1,135,250,90
84660758,0.968,0.194,1,135,250,90
87957266,0.183,0.82,1,135,250,90
91382060,0.54,0.46,1,135,250,90
97683363,0.802,0.169,2,67,250,90
100201824,0.849,0.176,2,67,250,90
104176260,0.18,0.28,1,135,250,90
104426221,0.291,0.108,2,67,250,90
107629181,0.140,0.72,1,135,250,90
107910462,0.205,0.90,2,67,250,90
108167597,0.07,0.18,1,135,250,90
116123143,0.190,0.86,2,67,250,90
123467664,0.536,0.133,1,135,250,90
127621103,0.82,0.57,1,135,250,90
130483296,0.198,0.79,2,67,250,90
130910826,0.280,0.100,2,67,250,90
131464231,0.774,0.172,2,67,250,90
133949047,0.07,0.18,1,135,250,90
142933655,0.723,0.162,1,135,250,90
160445437,0.183,0.79,1,135,250,90
164217998,0.79,0.46,1,135,250,90
166692282,0.450,0.129,2,67,250,90
166911033,0.320,0.108,1,135,250,90
169632233,0.640,0.140,2,67,250,90
170136223,0.666,0.158,2,67,250,90
170401977,0.28,0.32,2,67,250,90
170723564,0.892,0.180,1,135,250,90
170917902,0.417,0.126,1,135,250,90
173460629,0.21,0.28,1,135,250,90
173667938,0.284,0.104,1,135,250,90
173964315,0.237,0.97,1,135,250,90
176639330,0.07,0.18,1,135,250,90
176902101,0.619,0.147,2,67,250,90
184222939,0.212,0.86,1,135,250,90
188210832,0.327,0.108,2,67,250,90
192223350,0.57,0.43,1,135,250,90
192878957,0.46,0.39,2,67,250,90
197120972,0.54,0.46,1,135,250,90
197386154,0.316,0.100,2,67,250,90
197676235,0.32,0.36,1,135,250,90
197894785,0.118,0.68,2,67,250,90
200957589,0.450,0.118,1,135,250,90
207629302,0.54,0.46,2,67,250,90
207879198,0.522,0.140,2,67,250,90
208192066,0.838,0.169,1,135,250,90
208386137,0.32,0.32,1,135,250,90
212373434,0.536,0.133,2,67,250,90
215980462,0.302,0.100,2,67,250,90
222873528,0.10,0.14,2,67,250,90
223223271,0.262,0.97,1,135,250,90
226733256,0.144,0.72,2,67,250,90
233223102,0.489,0.129,1,135,250,90
236389547,0.831,0.176,1,135,250,90
239379414,0.601,0.147,2,67,250,90
239699135,0.190,0.86,1,135,250,90
243717503,0.244,0.97,2,67,250,90
250191766,0.32,0.36,2,67,250,90
250417646,0.396,0.115,2,67,250,90
250910746,0.910,0.183,1,135,250,90
256707869,0.100,0.57,1,135,250,90
257136274,0.115,0.68,1,135,250,90
257667840,0.698,0.162,1,135,250,90
257886275,0.165,0.75,1,135,250,90
258128726,0.18,0.28,2,67,250,90
258386130,0.388,0.118,2,67,250,90
259958856,0.511,0.118,1,135,250,90
263622437,0.331,0.111,1,135,250,90
266714659,0.601,0.133,2,67,250,90
273183308,0.777,0.165,2,67,250,90
273402092,0.867,0.183,1,135,250,90
273707348,0.190,0.86,1,135,250,90
280420523,0.716,0.158,2,67,250,90
280691784,0.241,0.97,2,67,250,90
280933139,0.82,0.50,2,67,250,90
289676349,0.604,0.151,1,135,250,90
289902083,0.288,0.97,1,135,250,90
292191658,0.28,0.28,2,67,250,90
295167774,0.183,0.79,1,135,250,90
295441598,0.32,0.36,2,67,250,90
295644920,0.471,0.133,1,135,250,90
307155178,0.756,0.169,1,135,250,90
307386170,0.554,0.136,2,67,250,90
307730852,0.176,0.79,2,67,250,90
310874262,0.345,0.108,1,135,250,90
313389103,0.32,0.36,1,135,250,90
313691671,0.777,0.169,2,67,250,90
315622431,0.910,0.183,1,135,250,90
318192882,0.237,0.93,1,135,250,90
323660483,0.619,0.147,2,67,250,90
326428955,0.460,0.129,2,67,250,90
332464601,0.54,0.46,1,135,250,90
332902089,0.446,0.126,1,135,250,90
336428842,0.82,0.57,1,135,250,90
337622214,0.147,0.75,1,135,250,90
342926078,0.122,0.61,2,67,250,90
346436208,0.198,0.86,1,135,250,90
347872113,0.190,0.86,1,135,250,90
355886281,0.266,0.100,1,135,250,90
356386066,0.237,0.97,2,67,250,90
360122247,0.691,0.154,1,135,250,90
361223090,0.07,0.18,1,135,250,90
367926179,0.460,0.133,2,67,250,90
368136054,0.82,0.57,2,67,250,90
368433367,0.133,0.68,1,135,250,90
373210114,0.651,0.154,2,67,250,90
373920193,0.327,0.100,1,135,250,90
384178909,0.111,0.64,2,67,250,90
386920388,0.61,0.46,2,67,250,90
387230616,0.903,0.183,1,135,250,90
391123618,0.414,0.126,1,135,250,90
393941835,0.28,0.32,1,135,250,90
394230396,0.248,0.97,2,67,250,90
400889177,0.244,0.97,2,67,250,90
418168031,0.820,0.172,1,135,250,90
418473325,0.590,0.140,2,67,250,90
426183636,0.262,0.97,1,135,250,90
428983401,0.14,0.21,1,135,250,90
432222972,0.18,0.28,2,67,250,90
432480739,0.320,0.108,1,135,250,90
439449366,0.806,0.176,1,135,250,90
439645195,0.813,0.172,2,67,250,90
439926567,0.558,0.140,1,135,250,90
440136050,0.57,0.39,2,67,250,90
443123597,0.712,0.158,2,67,250,90
446195146,0.90,0.57,1,135,250,90
451708058,0.136,0.68,1,135,250,90
454124023,0.601,0.147,1,135,250,90
454667934,0.403,0.115,2,67,250,90
454918027,0.694,0.158,1,135,250,90
455136564,0.288,0.100,2,67,250,90
458210915,0.478,0.129,2,67,250,90
458426630,0.842,0.169,1,135,250,90
458667846,0.302,0.108,2,67,250,90
458902131,0.543,0.129,2,67,250,90
464467863,0.460,0.122,1,135,250,90
468871368,0.381,0.118,1,135,250,90
472129431,0.07,0.18,1,135,250,90
472410934,0.237,0.97,2,67,250,90
472636192,0.507,0.136,2,67,250,90
472902124,0.558,0.147,2,67,250,90
473167683,0.673,0.147,2,67,250,90
473629136,0.162,0.72,1,135,250,90
476456918,0.36,0.36,2,67,250,90
479621305,0.637,0.151,1,135,250,90
483202019,0.180,0.82,1,135,250,90
489873466,0.914,0.183,1,135,250,90
496467704,0.172,0.79,2,67,250,90
502710996,0.486,0.129,1,135,250,90
502973508,0.295,0.104,1,135,250,90
508628833,0.21,0.28,1,135,250,90
508886150,0.561,0.140,2,67,250,90
512629239,0.554,0.140,2,67,250,90
512886195,0.277,0.100,2,67,250,90
516449165,0.75,0.50,1,135,250,90
516660689,0.07,0.18,2,67,250,90
516895233,0.468,0.126,1,135,250,90
517207759,0.342,0.115,1,135,250,90
517402076,0.36,0.36,1,135,250,90
517651926,0.86,0.50,2,67,250,90
520427449,0.720,0.151,1,135,250,90
524646270,0.615,0.154,1,135,250,90
526723614,0.36,0.36,1,135,250,90
537733240,0.482,0.136,1,135,250,90
549483186,0.18,0.28,1,135,250,90
553410821,0.21,0.28,2,67,250,90
553667550,0.07,0.18,2,67,250,90
557398121,0.190,0.86,1,135,250,90
560975964,0.18,0.28,2,67,250,90
564170698,0.194,0.86,1,135,250,90
567163892,0.666,0.158,1,135,250,90
567386053,0.18,0.28,2,67,250,90
569936359,0.439,0.126,1,135,250,90
570151994,0.194,0.86,2,67,250,90
573976414,0.176,0.72,1,135,250,90
574379122,0.525,0.129,2,67,250,90
579483239,0.745,0.165,2,67,250,90
579886063,0.266,0.90,2,67,250,90
580183308,0.316,0.108,2,67,250,90
580410605,0.435,0.122,1,135,250,90
580691764,0.360,0.111,2,67,250,90
583647932,0.396,0.118,1,135,250,90
586873335,0.32,0.36,2,67,250,90
590660729,0.669,0.158,2,67,250,90
594410976,0.388,0.115,1,135,250,90
594699058,0.198,0.86,2,67,250,90
601648244,0.194,0.79,1,135,250,90
604222732,0.147,0.75,2,67,250,90
604394920,0.324,0.108,2,67,250,90
607442160,0.766,0.154,2,67,250,90
616164163,0.381,0.118,1,135,250,90
620371483,0.475,0.136,1,135,250,90
623176758,0.795,0.165,1,135,250,90
627152280,0.342,0.104,2,67,250,90
630402044,0.07,0.18,2,67,250,90
630730444,0.54,0.46,2,67,250,90
634192309,0.151,0.68,1,135,250,90
636980650,0.698,0.154,2,67,250,90
639730616,0.640,0.144,2,67,250,90
639902303,0.698,0.165,1,135,250,90
640167899,0.313,0.104,1,135,250,90
640426473,0.770,0.172,1,135,250,90
644121115,0.446,0.129,1,135,250,90
644667684,0.856,0.172,2,67,250,90
647733132,0.54,0.46,2,67,250,90
650964867,0.608,0.147,1,135,250,90
659426355,0.457,0.122,2,67,250,90
665632428,0.241,0.86,2,67,250,90
669686453,0.543,0.129,1,135,250,90
671882089,0.86,0.57,2,67,250,90
676192282,0.309,0.104,1,135,250,90
678898304,0.421,0.122,2,67,250,90
679145182,0.14,0.25,1,135,250,90
682920757,0.82,0.57,1,135,250,90
683136497,0.180,0.79,2,67,250,90
685964797,0.183,0.79,1,135,250,90
686160783,0.201,0.79,1,135,250,90
686417793,0.18,0.28,1,135,250,90
686910584,0.327,0.111,2,67,250,90
689936081,0.158,0.72,2,67,250,90
693639334,0.759,0.169,1,135,250,90
696129002,0.25,0.18,1,135,250,90
699647344,0.68,0.50,2,67,250,90
699879023,0.597,0.147,1,135,250,90
700472588,0.709,0.151,1,135,250,90
703442745,0.298,0.108,1,135,250,90
706621957,0.32,0.36,1,135,250,90
709622500,0.54,0.46,2,67,250,90
718926122,0.72,0.50,2,67,250,90
722683408,0.601,0.140,2,67,250,90
722910332,0.446,0.129,1,135,250,90
723151996,0.658,0.154,2,67,250,90
723386141,0.86,0.57,1,135,250,90
723628956,0.306,0.104,1,135,250,90
729917583,0.18,0.28,2,67,250,90
730660608,0.813,0.169,1,135,250,90
735433140,0.28,0.32,2,67,250,90
735636132,0.666,0.158,2,67,250,90
735941824,0.712,0.158,1,135,250,90
739372222,0.478,0.129,1,135,250,90
748122034,0.237,0.97,1,135,250,90
753683346,0.345,0.108,2,67,250,90
757878846,0.680,0.162,2,67,250,90
764871573,0.360,0.118,1,135,250,90
768928901,0.82,0.57,1,135,250,90
