time,_Eihop,_P0,hops,d,_R,_Nb
3350355703,0.122,0.32,1,135,250,90
3365902386,0.79,0.25,1,135,250,90
3380770518,0.25,0.14,1,135,250,90
3384661833,0.126,0.32,1,135,250,90
3462426859,0.36,0.18,1,135,250,90
3520074871,0.25,0.14,1,135,250,90
3544098829,0.126,0.32,1,135,250,90
3550345957,0.100,0.28,1,135,250,90
3559230634,0.43,0.18,1,135,250,90
3572840144,0.158,0.36,1,135,250,90
3589786302,0.108,0.28,1,135,250,90
3599098791,0.79,0.25,1,135,250,90
3626043011,0.82,0.25,1,135,250,90
3634924084,0.144,0.32,1,135,250,90
3681455360,0.61,0.21,1,135,250,90
3745067580,0.129,0.32,1,135,250,90
3753399634,0.03,0.07,1,135,250,90
3766737238,0.187,0.39,1,135,250,90
3776596665,0.36,0.18,1,135,250,90
3783259112,0.165,0.36,1,135,250,90
3805621328,0.111,0.28,1,135,250,90
3827840173,0.165,0.36,1,135,250,90
3843121353,0.136,0.32,1,135,250,90
3843400292,0.111,0.28,1,135,250,90
3872706049,0.111,0.28,1,135,250,90
3882418163,0.14,0.10,1,135,250,90
3896315579,0.190,0.39,1,135,250,90
3917970893,0.57,0.21,1,135,250,90
3920895522,0.79,0.25,1,135,250,90
3939220985,0.154,0.36,1,135,250,90
3951580296,0.28,0.14,1,135,250,90
4019090499,0.39,0.18,1,135,250,90
4021864374,0.122,0.32,1,135,250,90
4024924389,0.79,0.25,1,135,250,90
4046028217,0.126,0.32,1,135,250,90
4049777446,0.07,0.07,1,135,250,90
4059918128,0.39,0.18,1,135,250,90
4071024607,0.75,0.25,1,135,250,90
4097700126,0.46,0.18,1,135,250,90
4097837246,0.100,0.28,1,135,250,90
4105055924,0.79,0.25,1,135,250,90
4136439735,0.64,0.21,1,135,250,90
4169080327,0.28,0.14,1,135,250,90
4192408452,0.64,0.21,1,135,250,90
4199361554,0.28,0.14,1,135,250,90
4217130119,0.43,0.18,1,135,250,90
4277274739,0.97,0.28,1,135,250,90
4277408376,0.28,0.14,1,135,250,90
4297549111,0.140,0.32,1,135,250,90
4324496275,0.165,0.36,1,135,250,90
4330464898,0.43,0.18,1,135,250,90
4352830336,0.176,0.36,1,135,250,90
4353102701,0.39,0.18,1,135,250,90
4384221598,0.39,0.18,1,135,250,90
4390043136,0.176,0.36,1,135,250,90
