time,_Eihop,_P0,hops,d,_R,_Nb
84897969,0.28,0.10,1,135,250,90
141219462,0.14,0.07,1,135,250,90
185956774,0.32,0.10,1,135,250,90
228594377,0.50,0.14,1,135,250,90
292282148,0.36,0.10,1,135,250,90
441112867,0.03,0.03,1,135,250,90
493360048,0.79,0.18,1,135,250,90
532438206,0.28,0.10,1,135,250,90
584681506,0.57,0.14,1,135,250,90
660613061,0.03,0.03,1,135,250,90
682847427,0.14,0.07,1,135,250,90
720351236,0.03,0.03,1,135,250,90
723644300,0.32,0.10,1,135,250,90
737987922,0.82,0.18,1,135,250,90
741538683,0.82,0.18,1,135,250,90
770882487,0.36,0.10,1,135,250,90
779441073,0.50,0.14,1,135,250,90
801281955,0.28,0.10,1,135,250,90
831023017,0.57,0.14,1,135,250,90
867472287,0.14,0.07,1,135,250,90
881682392,0.03,0.03,1,135,250,90
1002094424,0.03,0.03,1,135,250,90
1026041855,0.50,0.14,1,135,250,90
1061573087,0.03,0.03,1,135,250,90
1099335658,0.82,0.18,1,135,250,90
1108547562,0.57,0.14,1,135,250,90
1134604237,0.32,0.10,1,135,250,90
1207503647,0.82,0.18,1,135,250,90
1241456746,0.75,0.18,1,135,250,90
1252510521,0.32,0.10,1,135,250,90
1274094457,0.57,0.14,1,135,250,90
1366729201,0.79,0.18,1,135,250,90
1449500706,0.61,0.14,1,135,250,90
1472666706,0.03,0.03,1,135,250,90
1481744769,0.03,0.03,1,135,250,90
1508322892,0.03,0.03,1,135,250,90
1609253573,0.28,0.10,1,135,250,90
1652945233,0.03,0.03,1,135,250,90
1716241827,0.14,0.07,1,135,250,90
1787166760,0.57,0.14,1,135,250,90
1813485023,0.75,0.18,1,135,250,90
1847175561,0.32,0.10,1,135,250,90
1855597601,0.54,0.14,1,135,250,90
1870994909,0.82,0.18,1,135,250,90
1879413643,0.57,0.14,1,135,250,90
1881916638,0.32,0.10,1,135,250,90
1937710529,0.03,0.03,1,135,250,90
1954159917,0.14,0.07,1,135,250,90
2019953802,0.57,0.14,1,135,250,90
2043375623,0.50,0.14,1,135,250,90
2063776178,0.28,0.10,1,135,250,90
2099041772,0.14,0.07,1,135,250,90
2204710577,0.86,0.18,1,135,250,90
2220238042,0.61,0.14,1,135,250,90
2263795546,0.86,0.18,1,135,250,90
2279713627,0.10,0.07,1,135,250,90
2305510472,0.28,0.10,1,135,250,90
2325510505,0.50,0.14,1,135,250,90
2333276164,0.03,0.03,1,135,250,90
2351827686,0.03,0.03,1,135,250,90
2400125672,0.28,0.10,1,135,250,90
2466047708,0.32,0.10,1,135,250,90
2561456030,0.82,0.18,1,135,250,90
2595797580,0.82,0.18,1,135,250,90
2640144197,0.57,0.14,1,135,250,90
2713050453,0.54,0.14,1,135,250,90
2838588505,0.79,0.18,1,135,250,90
2845691141,0.03,0.03,1,135,250,90
2978205910,0.82,0.18,1,135,250,90
3050447952,0.82,0.18,1,135,250,90
3072557416,0.14,0.07,1,135,250,90
3097953773,0.46,0.14,1,135,250,90
3117956805,0.03,0.03,1,135,250,90
3164409063,0.32,0.10,1,135,250,90
3171116796,0.79,0.18,1,135,250,90
3187172619,0.75,0.18,1,135,250,90
3226913648,0.28,0.10,1,135,250,90
3242835554,0.28,0.10,1,135,250,90
3290339850,0.32,0.10,1,135,250,90
3309555012,0.28,0.10,1,135,250,90
3363901106,0.61,0.14,1,135,250,90
3461541634,0.86,0.18,1,135,250,90
3537469456,0.03,0.03,1,135,250,90
3576947219,0.36,0.10,1,135,250,90
3596425448,0.57,0.14,1,135,250,90
3600766375,0.86,0.18,1,135,250,90
3686563206,0.03,0.03,1,135,250,90
3706172621,0.32,0.10,1,135,250,90
3760519235,0.54,0.14,1,135,250,90
3918956101,0.03,0.03,1,135,250,90
3940797550,0.10,0.07,1,135,250,90
3964878637,0.28,0.10,1,135,250,90
3973828831,0.86,0.18,1,135,250,90
4025807530,0.54,0.14,1,135,250,90
4037784864,0.03,0.03,1,135,250,90
4079628536,0.10,0.07,1,135,250,90
4119893516,0.36,0.10,1,135,250,90
4148585629,0.14,0.07,1,135,250,90
4163581802,0.14,0.07,1,135,250,90
4192141443,0.54,0.14,1,135,250,90
4228195030,0.36,0.10,1,135,250,90
4250304281,0.14,0.07,1,135,250,90
4299125843,0.57,0.14,1,135,250,90
4329523158,0.61,0.14,1,135,250,90
4385316154,0.50,0.14,1,135,250,90
4414791795,0.79,0.18,1,135,250,90
4437166807,0.03,0.03,1,135,250,90
4453878676,0.10,0.07,1,135,250,90
4454008147,0.18,0.07,1,135,250,90
4480194969,0.36,0.10,1,135,250,90
4547703780,0.18,0.07,1,135,250,90
4569019368,0.03,0.03,1,135,250,90
4633760481,0.36,0.10,1,135,250,90
4639025313,0.14,0.07,1,135,250,90
4744166732,0.57,0.14,1,135,250,90
4747194898,0.54,0.14,1,135,250,90
4755878571,0.79,0.18,1,135,250,90
4770222352,0.57,0.14,1,135,250,90
4774304306,0.86,0.18,1,135,250,90
4893391330,0.36,0.10,1,135,250,90
4905101211,0.14,0.07,1,135,250,90
4934055371,0.10,0.07,1,135,250,90
5013538681,0.32,0.10,1,135,250,90
5100124946,0.79,0.18,1,135,250,90
5145523168,0.54,0.14,1,135,250,90
5175659828,0.10,0.07,1,135,250,90
5248557255,0.14,0.07,1,135,250,90
5283822972,0.82,0.18,1,135,250,90
5295534829,0.36,0.10,1,135,250,90
5307510452,0.18,0.07,1,135,250,90
5377385509,0.54,0.14,1,135,250,90
5401072971,0.28,0.10,1,135,250,90
5423047631,0.79,0.18,1,135,250,90
5481344397,0.86,0.18,1,135,250,90
5501610021,0.75,0.18,1,135,250,90
