cpu,lpm,transmit,listen,hops,d,_R,_Nb
60713,922264,7812,8642,1,135,250,90
65511,917467,9785,8114,2,67,250,90
20168,307533,1716,4139,1,135,250,90
28207,299494,6826,6419,2,67,250,90
20090,307375,1594,4469,1,135,250,90
32624,294839,9482,6773,2,67,250,90
23753,303712,3752,4477,1,135,250,90
28493,298974,7647,7052,2,67,250,90
19546,307924,1492,4219,1,135,250,90
29298,298173,7867,72527,2,67,250,90
19750,307715,1553,4367,1,135,250,90
27276,300179,6165,5939,2,67,250,90
23618,303847,3770,4271,1,135,250,90
27756,299712,6327,6265,2,67,250,90
18662,308805,1551,4454,1,135,250,90
27739,299727,6545,6247,2,67,250,90
18671,308796,1593,4464,1,135,250,90
30400,297065,7719,5782,2,67,250,90
18643,308824,1549,4321,1,135,250,90
27805,299663,7202,6625,2,67,250,90
19222,308250,1549,4380,1,135,250,90
26378,301094,6217,6054,2,67,250,90
19842,307623,1603,4218,1,135,250,90
28190,299274,6821,6432,2,67,250,90
23755,303711,3759,4331,1,135,250,90
26816,300651,5886,6070,2,67,250,90
18591,308876,1550,4281,1,135,250,90
29615,297853,7539,6844,2,67,250,90
18545,308923,1546,4335,1,135,250,90
28699,298767,7044,6574,2,67,250,90
18647,308821,1601,4244,1,135,250,90
29176,298291,7321,6708,2,67,250,90
18673,308795,1598,4304,1,135,250,90
29465,298003,7647,6906,2,67,250,90
18548,308919,1551,4334,1,135,250,90
26417,301049,5719,5783,2,67,250,90
18550,308918,1539,4329,1,135,250,90
26895,300572,6053,5997,2,67,250,90
18514,308954,1545,4229,1,135,250,90
29297,298169,7539,6840,2,67,250,90
18568,308900,1553,4240,1,135,250,90
27695,299773,6546,6235,2,67,250,90
18666,308801,1546,4541,1,135,250,90
32660,294804,9534,6777,2,67,250,90
18742,308727,1593,4384,1,135,250,90
28212,299256,7645,6895,2,67,250,90
19428,308042,1543,4314,1,135,250,90
25328,302142,5396,5650,2,67,250,90
19996,307469,1604,4238,1,135,250,90
28135,299331,6823,6415,2,67,250,90
19964,307503,1598,4240,1,135,250,90
26689,300778,5895,5914,2,67,250,90
19929,307539,1545,4264,1,135,250,90
29529,297938,7543,6814,2,67,250,90
19825,307642,1500,4235,1,135,250,90
28406,299061,7047,6488,2,67,250,90
19972,307496,1550,4343,1,135,250,90
29055,298413,7211,6662,2,67,250,90
19894,307572,1552,4294,1,135,250,90
27580,299887,6216,6043,2,67,250,90
19972,307495,1553,4254,1,135,250,90
26606,300860,5726,5791,2,67,250,90
20050,307418,1550,4416,1,135,250,90
31257,296208,8214,6060,2,67,250,90
19875,307592,1602,4242,1,135,250,90
26236,301231,6324,6133,2,67,250,90
19878,307590,1553,4312,1,135,250,90
26700,300767,6709,6358,2,67,250,90
20087,307381,1550,4510,1,135,250,90
27288,300180,7043,6571,2,67,250,90
19874,307592,1551,4330,1,135,250,90
27673,299794,7203,6639,2,67,250,90
19879,307588,1554,4289,1,135,250,90
25970,301497,6214,6036,2,67,250,90
19911,307556,1548,4337,1,135,250,90
28927,298540,7865,7032,2,67,250,90
19960,307507,1604,4285,1,135,250,90
26823,300644,6822,6418,2,67,250,90
20051,307417,1603,4321,1,135,250,90
26332,301135,6324,6131,2,67,250,90
19958,307510,1543,4279,1,135,250,90
27145,300323,6705,6351,2,67,250,90
24034,303430,3762,4315,1,135,250,90
25255,302211,5558,5866,2,67,250,90
18630,308838,1548,4311,1,135,250,90
27643,299824,7202,6634,2,67,250,90
18627,308840,1552,4354,1,135,250,90
26226,301242,6215,6038,2,67,250,90
18506,308962,1549,4289,1,135,250,90
28868,298599,7865,7015,2,67,250,90
18641,308827,1606,4270,1,135,250,90
27050,300418,6822,6428,2,67,250,90
18660,308808,1605,4304,1,135,250,90
26565,300903,6324,6145,2,67,250,90
18638,308829,1540,4302,1,135,250,90
27390,300076,7045,6553,2,67,250,90
18698,308769,1547,4386,1,135,250,90
27793,299674,7374,6729,2,67,250,90
24391,303077,3774,4421,1,135,250,90
29826,297644,7817,7137,2,67,250,90
17940,309527,1487,4285,1,135,250,90
27116,300350,6055,6009,2,67,250,90
18189,309279,1548,4366,1,135,250,90
29437,298030,7535,6842,2,67,250,90
18531,308938,1546,4276,1,135,250,90
