cpu,lpm,transmit,listen,hops,d,_R,_Nb
65768,917210,9834,8454,2,67,250,90
26684,301017,5979,6642,1,135,250,90
16554,311147,443,3048,2,67,250,90
29948,297515,7966,6566,1,135,250,90
20453,307020,2482,3169,2,67,250,90
25154,302313,5804,6346,1,135,250,90
15414,312053,330,2939,2,67,250,90
26104,301367,5806,6350,1,135,250,90
16121,311360,324,2936,2,67,250,90
26661,300804,5808,6416,1,135,250,90
20460,307013,2487,3020,2,67,250,90
26450,301019,5800,6326,1,135,250,90
15441,312026,330,2938,2,67,250,90
26453,301013,5809,6335,1,135,250,90
15404,312073,324,2966,2,67,250,90
29912,297553,7960,6416,1,135,250,90
15470,312007,324,3104,2,67,250,90
25206,302261,5807,6464,1,135,250,90
15403,312074,324,2938,2,67,250,90
25509,301963,5805,6326,1,135,250,90
15583,311898,324,2936,2,67,250,90
26453,301012,5813,6353,1,135,250,90
16713,310762,324,2967,2,67,250,90
26546,300922,5813,6346,1,135,250,90
16680,310796,323,2964,2,67,250,90
26474,300992,5809,6358,1,135,250,90
16691,310786,324,2965,2,67,250,90
26522,300945,5811,6493,1,135,250,90
16712,310766,324,2966,2,67,250,90
26454,301013,5808,6344,1,135,250,90
16681,310795,324,2967,2,67,250,90
26609,300859,5808,6515,1,135,250,90
20179,307296,2485,3018,2,67,250,90
26435,301033,5806,6327,1,135,250,90
15403,312064,330,2948,2,67,250,90
26421,301045,5811,6359,1,135,250,90
15397,312080,324,2967,2,67,250,90
26435,301032,5811,6358,1,135,250,90
15440,312038,324,2967,2,67,250,90
30546,296919,7956,6409,1,135,250,90
15481,311996,325,3124,2,67,250,90
25188,302279,5802,6354,1,135,250,90
15403,312074,324,2938,2,67,250,90
25254,302212,5805,6325,1,135,250,90
15443,312034,324,2938,2,67,250,90
25782,301688,5810,6363,1,135,250,90
15818,311663,324,2959,2,67,250,90
26432,301034,5810,6332,1,135,250,90
16682,310793,324,2966,2,67,250,90
26465,301002,5811,6334,1,135,250,90
16732,310746,324,2966,2,67,250,90
26424,301042,5806,6336,1,135,250,90
16681,310795,324,2966,2,67,250,90
26538,300930,5806,6343,1,135,250,90
16682,310795,324,2966,2,67,250,90
26547,300920,5807,6371,1,135,250,90
16761,310717,324,2967,2,67,250,90
26510,300957,5806,6317,1,135,250,90
16712,310764,324,2965,2,67,250,90
26433,301033,5810,6338,1,135,250,90
16680,310796,323,2965,2,67,250,90
26471,300996,5811,6364,1,135,250,90
16703,310774,324,2966,2,67,250,90
26462,301005,5811,6363,1,135,250,90
16712,310766,324,2966,2,67,250,90
26480,300987,5807,6337,1,135,250,90
16681,310795,324,2966,2,67,250,90
26482,300986,5808,6358,1,135,250,90
16764,310714,324,2967,2,67,250,90
26446,301020,5808,6350,1,135,250,90
16713,310764,324,2966,2,67,250,90
26502,300965,5808,6334,1,135,250,90
16681,310795,324,2968,2,67,250,90
26441,301025,5809,6344,1,135,250,90
16708,310769,324,2966,2,67,250,90
26542,300925,5809,6531,1,135,250,90
20857,306618,2484,3018,2,67,250,90
26462,301005,5801,6345,1,135,250,90
15414,312054,330,2939,2,67,250,90
26503,300965,5808,6354,1,135,250,90
15439,312038,324,2961,2,67,250,90
26586,300880,5811,6632,1,135,250,90
15426,312051,324,2969,2,67,250,90
26462,301005,5815,6332,1,135,250,90
15398,312079,324,2966,2,67,250,90
26530,300938,5810,6323,1,135,250,90
15427,312050,324,2967,2,67,250,90
26432,301034,5810,6350,1,135,250,90
15397,312080,324,2970,2,67,250,90
26448,301019,5811,6348,1,135,250,90
15397,312080,324,2970,2,67,250,90
26572,300896,5808,6354,1,135,250,90
15472,312006,324,2963,2,67,250,90
26481,300985,5809,6358,1,135,250,90
15425,312051,324,2966,2,67,250,90
30821,296643,7974,6371,1,135,250,90
15508,311969,323,3105,2,67,250,90
26326,301144,5808,6358,1,135,250,90
16363,311117,324,2961,2,67,250,90
26383,301083,5810,6332,1,135,250,90
16603,310872,324,2966,2,67,250,90
26437,301030,5810,6475,1,135,250,90
16603,310874,324,2965,2,67,250,90
26491,300976,5816,6340,1,135,250,90
16743,310734,324,2966,2,67,250,90
26411,301055,5804,6335,1,135,250,90
16603,310873,324,2967,2,67,250,90
26465,301002,5806,6348,1,135,250,90
16710,310767,324,2965,2,67,250,90
26422,301044,5811,6368,1,135,250,90
16640,310836,323,2966,2,67,250,90
26513,300954,5810,6330,1,135,250,90
16710,310767,324,2966,2,67,250,90
26369,301097,5805,6357,1,135,250,90
16603,310873,324,2966,2,67,250,90
26521,300946,5812,6364,1,135,250,90
16747,310730,324,2966,2,67,250,90
26540,300926,5809,6357,1,135,250,90
16710,310766,324,2968,2,67,250,90
26446,301020,5811,6342,1,135,250,90
16603,310873,324,2967,2,67,250,90
26388,301078,5804,6338,1,135,250,90
16645,310832,324,2965,2,67,250,90
26417,301050,5806,6442,1,135,250,90
20062,307412,2469,3016,2,67,250,90
26317,301151,5800,6329,1,135,250,90
14898,312570,331,2938,2,67,250,90
26541,300927,5810,6360,1,135,250,90
14922,312555,325,2967,2,67,250,90
26420,301046,5809,6344,1,135,250,90
14851,312625,325,2967,2,67,250,90
26343,301124,5810,6307,1,135,250,90
14850,312626,324,2967,2,67,250,90
26423,301044,5810,6337,1,135,250,90
14896,312580,324,2967,2,67,250,90
26477,300990,5810,6319,1,135,250,90
14850,312627,324,2966,2,67,250,90
26405,301061,5811,6326,1,135,250,90
14881,312596,324,2967,2,67,250,90
26524,300944,5806,6336,1,135,250,90
14926,312551,325,2967,2,67,250,90
26446,301020,5807,6340,1,135,250,90
14851,312625,325,2967,2,67,250,90
26376,301090,5811,6336,1,135,250,90
14850,312626,324,2967,2,67,250,90
26454,301013,5810,6342,1,135,250,90
14900,312576,324,2967,2,67,250,90
26449,301018,5810,6352,1,135,250,90
14850,312627,324,2965,2,67,250,90
26436,301031,5807,6304,1,135,250,90
14869,312608,324,2960,2,67,250,90
26529,300937,5805,6348,1,135,250,90
14930,312547,325,2967,2,67,250,90
26382,301084,5809,6333,1,135,250,90
14851,312625,325,2967,2,67,250,90
26491,300976,5808,6335,1,135,250,90
14898,312579,324,2960,2,67,250,90
26415,301052,5815,6342,1,135,250,90
14905,312571,325,2967,2,67,250,90
26349,301118,5810,6330,1,135,250,90
14850,312627,324,2965,2,67,250,90
26510,300957,5810,6334,1,135,250,90
14850,312626,324,2967,2,67,250,90
26590,300876,5808,6353,1,135,250,90
14922,312555,324,2960,2,67,250,90
26382,301084,5809,6366,1,135,250,90
14881,312596,325,2967,2,67,250,90
26383,301084,5811,6336,1,135,250,90
14880,312597,324,2966,2,67,250,90
26527,300940,5811,6352,1,135,250,90
14908,312568,324,2966,2,67,250,90
26381,301085,5809,6321,1,135,250,90
14881,312597,324,2965,2,67,250,90
30478,296987,7969,6396,1,135,250,90
14923,312553,325,3129,2,67,250,90
25238,302230,5804,6337,1,135,250,90
14942,312535,324,2939,2,67,250,90
24620,302845,5810,6352,1,135,250,90
14871,312606,324,2959,2,67,250,90
24617,302849,5805,6353,1,135,250,90
14840,312636,324,2962,2,67,250,90
24734,302732,5805,6351,1,135,250,90
14917,312559,324,2938,2,67,250,90
24688,302778,5805,6309,1,135,250,90
14855,312621,324,2938,2,67,250,90
24649,302817,5805,6328,1,135,250,90
14855,312621,324,2941,2,67,250,90
25263,302206,5805,6351,1,135,250,90
15276,312202,324,2941,2,67,250,90
24737,302728,5809,6360,1,135,250,90
14839,312636,324,2963,2,67,250,90
24614,302852,5809,6347,1,135,250,90
14840,312636,325,2960,2,67,250,90
24702,302765,5809,6352,1,135,250,90
14906,312570,325,2960,2,67,250,90
24637,302829,5804,6341,1,135,250,90
14886,312592,324,2938,2,67,250,90
24681,302785,5809,6363,1,135,250,90
14840,312636,325,2960,2,67,250,90
25735,301736,5806,6309,1,135,250,90
16091,311390,324,2938,2,67,250,90
25952,301513,5808,6372,1,135,250,90
16135,311340,324,2967,2,67,250,90
25932,301534,5810,6362,1,135,250,90
16134,311343,324,2966,2,67,250,90
26003,301464,5815,6325,1,135,250,90
16204,311273,324,2966,2,67,250,90
25933,301534,5811,6363,1,135,250,90
16134,311343,324,2966,2,67,250,90
25888,301579,5815,6338,1,135,250,90
16195,311282,324,2966,2,67,250,90
30299,297166,7970,6375,1,135,250,90
16306,311171,324,3113,2,67,250,90
24621,302846,5807,6335,1,135,250,90
16122,311354,324,2961,2,67,250,90
24659,302807,5804,6356,1,135,250,90
16153,311324,324,2958,2,67,250,90
24744,302723,5808,6311,1,135,250,90
16208,311268,324,2967,2,67,250,90
24612,302854,5807,6332,1,135,250,90
16122,311355,324,2958,2,67,250,90
24639,302827,5807,6354,1,135,250,90
16122,311355,324,2958,2,67,250,90
24774,302694,5805,6331,1,135,250,90
16226,311251,324,2958,2,67,250,90
24637,302828,5805,6358,1,135,250,90
16165,311311,324,2968,2,67,250,90
24608,302858,5806,6340,1,135,250,90
16121,311355,323,2958,2,67,250,90
24686,302780,5806,6341,1,135,250,90
16200,311277,324,2959,2,67,250,90
24636,302831,5806,6343,1,135,250,90
16122,311355,324,2958,2,67,250,90
24657,302810,5806,6346,1,135,250,90
16153,311324,324,2959,2,67,250,90
24752,302715,5809,6319,1,135,250,90
16230,311246,324,2960,2,67,250,90
24676,302790,5806,6331,1,135,250,90
16153,311324,324,2957,2,67,250,90
24629,302837,5806,6328,1,135,250,90
16152,311324,323,2958,2,67,250,90
24726,302740,5809,6361,1,135,250,90
16216,311260,324,2967,2,67,250,90
24631,302837,5808,6342,1,135,250,90
16122,311355,324,2958,2,67,250,90
24607,302859,5806,6341,1,135,250,90
16122,311355,324,2958,2,67,250,90
24710,302757,5806,6337,1,135,250,90
16267,311211,324,2958,2,67,250,90
24701,302765,5806,6364,1,135,250,90
16123,311353,324,2958,2,67,250,90
24835,302631,5808,6514,1,135,250,90
19438,308036,2490,2988,2,67,250,90
24706,302762,5802,6337,1,135,250,90
14969,312499,330,2923,2,67,250,90
24627,302839,5806,6347,1,135,250,90
14844,312632,324,2936,2,67,250,90
24628,302838,5809,6319,1,135,250,90
14879,312599,324,2938,2,67,250,90
24756,302712,5806,6334,1,135,250,90
14977,312501,325,2960,2,67,250,90
24629,302836,5809,6292,1,135,250,90
14826,312649,323,2959,2,67,250,90
24620,302847,5809,6339,1,135,250,90
14829,312648,325,2959,2,67,250,90
24771,302696,5805,6358,1,135,250,90
14919,312558,325,2959,2,67,250,90
24657,302809,5806,6300,1,135,250,90
14843,312633,324,2936,2,67,250,90
24687,302781,5809,6320,1,135,250,90
14844,312633,324,2937,2,67,250,90
24742,302725,5808,6324,1,135,250,90
14997,312482,324,2937,2,67,250,90
24672,302795,5807,6334,1,135,250,90
14827,312648,324,2959,2,67,250,90
24681,302785,5808,6323,1,135,250,90
14845,312632,324,2937,2,67,250,90
24701,302766,5810,6337,1,135,250,90
14938,312539,324,2938,2,67,250,90
24597,302869,5810,6331,1,135,250,90
14844,312633,324,2938,2,67,250,90
24585,302881,5810,6325,1,135,250,90
14874,312604,324,2938,2,67,250,90
24771,302697,5807,6366,1,135,250,90
14985,312493,325,2960,2,67,250,90
24670,302797,5805,6317,1,135,250,90
14862,312614,325,2960,2,67,250,90
24621,302846,5804,6325,1,135,250,90
14874,312603,324,2937,2,67,250,90
24738,302728,5807,6361,1,135,250,90
14926,312550,325,2960,2,67,250,90
24642,302825,5809,6333,1,135,250,90
14829,312648,325,2959,2,67,250,90
24674,302793,5809,6357,1,135,250,90
