cpu,lpm,transmit,listen,hops,d,_R,_Nb
56122,926896,8624,368593,1,135,250,90
48845,278837,753,126893,1,135,250,90
39707,287746,2841,124938,1,135,250,90
16531,310920,401,128791,1,135,250,90
57984,925038,8728,372297,2,67,250,90
20369,307092,627,126773,1,135,250,90
51530,276157,365,126344,2,67,250,90
23454,304234,1136,123360,1,135,250,90
18087,309360,399,127205,1,135,250,90
66761,260929,342,123787,2,67,250,90
19240,308217,905,128500,1,135,250,90
20537,306916,2457,124030,1,135,250,90
28005,299453,343,128970,2,67,250,90
24391,303060,1034,127771,1,135,250,90
19121,308329,743,129530,1,135,250,90
25173,302285,2507,126358,2,67,250,90
26507,300949,799,129932,1,135,250,90
56763,270690,741,125094,1,135,250,90
42184,285275,340,131482,1,135,250,90
21105,306353,280,131440,1,135,250,90
21636,305820,394,122045,1,135,250,90
18486,308972,334,129661,1,135,250,90
17261,310193,281,125332,1,135,250,90
19824,307635,280,131412,1,135,250,90
21076,306376,2434,124393,1,135,250,90
13245,314204,114,126166,1,135,250,90
16085,311375,336,128722,1,135,250,90
33245,294211,168,126971,1,135,250,90
55796,271663,112,129424,1,135,250,90
14437,313020,112,128657,1,135,250,90
15587,311871,166,129019,1,135,250,90
54091,273365,337,128887,2,67,250,90
19239,308218,677,124985,1,135,250,90
14264,313194,112,129362,1,135,250,90
27773,299684,343,131428,2,67,250,90
17215,310244,565,127703,1,135,250,90
28881,298575,338,131430,2,67,250,90
17246,310213,510,126706,1,135,250,90
18638,308819,395,129011,1,135,250,90
31728,295723,2560,126300,2,67,250,90
19580,307879,421,128895,1,135,250,90
21239,306279,509,123891,1,135,250,90
27655,299789,339,129026,2,67,250,90
46604,280850,395,127362,2,67,250,90
58387,269285,699,126445,1,135,250,90
64646,263041,392,128033,1,135,250,90
35705,291751,617,124716,1,135,250,90
20274,307181,507,126873,1,135,250,90
17776,309680,340,127063,1,135,250,90
18506,308951,336,126964,1,135,250,90
27174,300266,397,129680,2,67,250,90
18414,309039,565,125312,1,135,250,90
14347,313111,112,129323,1,135,250,90
14359,313098,112,129309,1,135,250,90
17745,309716,451,131586,1,135,250,90
19960,307495,112,127089,1,135,250,90
60251,267203,507,124496,2,67,250,90
60948,266509,681,127112,1,135,250,90
25405,302052,113,128831,1,135,250,90
15552,311906,169,128922,1,135,250,90
18529,308928,2282,126137,1,135,250,90
15697,311751,286,129532,1,135,250,90
27849,299607,347,127217,2,67,250,90
17664,309798,567,129947,1,135,250,90
18645,308811,395,126485,1,135,250,90
18812,308642,394,121501,1,135,250,90
15509,311948,224,129377,1,135,250,90
15114,312343,170,128812,1,135,250,90
39220,288240,282,131467,1,135,250,90
64755,262702,338,128978,1,135,250,90
31093,296362,169,127441,1,135,250,90
14340,313117,113,129156,1,135,250,90
15377,312081,226,129285,1,135,250,90
16489,310968,337,128929,1,135,250,90
14288,313170,112,128833,1,135,250,90
16574,310883,282,129297,1,135,250,90
15090,312368,168,128938,1,135,250,90
19333,308125,285,126855,1,135,250,90
16368,311089,282,129079,1,135,250,90
47297,280160,113,129266,1,135,250,90
42774,284683,168,129639,1,135,250,90
14346,313111,112,129586,1,135,250,90
15382,312075,168,129040,1,135,250,90
14234,313223,114,128691,1,135,250,90
14294,313165,112,129185,1,135,250,90
28953,298780,337,129421,2,67,250,90
20565,306894,2627,125668,1,135,250,90
19366,308080,898,123052,1,135,250,90
28539,299126,508,129297,2,67,250,90
17293,310163,624,124277,1,135,250,90
13810,313647,168,129155,1,135,250,90
19336,308122,171,126337,1,135,250,90
55365,272094,226,128996,1,135,250,90
16432,311026,112,129412,1,135,250,90
15896,311564,225,131398,1,135,250,90
14728,312726,281,127863,1,135,250,90
12607,314851,57,128985,1,135,250,90
16289,311178,330,129761,1,135,250,90
13646,313813,168,129505,1,135,250,90
28888,298566,507,124088,2,67,250,90
22145,305315,904,124521,1,135,250,90
14083,313371,223,126910,1,135,250,90
15920,311542,282,131441,1,135,250,90
32587,294866,336,126542,1,135,250,90
50739,276720,226,126657,1,135,250,90
17863,309595,226,129532,1,135,250,90
12583,314874,57,129010,1,135,250,90
12621,314846,55,128998,1,135,250,90
12521,314946,55,128811,1,135,250,90
12564,314904,55,128795,1,135,250,90
12545,314922,56,128952,1,135,250,90
34127,293326,225,126637,2,67,250,90
14203,313269,351,129019,1,135,250,90
17029,310423,440,127249,1,135,250,90
13720,313738,113,129060,1,135,250,90
45507,281951,56,129163,1,135,250,90
48847,278620,276,129765,1,135,250,90
13652,313807,113,129426,1,135,250,90
13614,313846,57,129527,1,135,250,90
13680,313786,55,129622,1,135,250,90
16565,310938,273,123797,1,135,250,90
15032,312656,113,128779,1,135,250,90
16030,311428,169,129408,1,135,250,90
27491,299962,506,129388,2,67,250,90
18697,308770,510,131705,1,135,250,90
17861,309590,337,127863,1,135,250,90
25752,301696,223,125131,1,135,250,90
57790,269667,56,129572,1,135,250,90
28600,298867,110,129267,1,135,250,90
14930,312528,113,129605,1,135,250,90
17067,310388,2208,126439,1,135,250,90
12628,314819,57,129326,1,135,250,90
13348,314117,112,129555,1,135,250,90
12526,314931,57,129407,1,135,250,90
12493,314974,55,128938,1,135,250,90
12563,314904,55,126296,1,135,250,90
12580,314896,55,129599,1,135,250,90
32597,294862,110,129294,1,135,250,90
45859,281598,56,128876,1,135,250,90
13471,314053,55,129371,1,135,250,90
12565,315086,55,129533,1,135,250,90
63603,263851,453,129928,2,67,250,90
17547,309925,396,131621,1,135,250,90
18790,308666,332,129616,1,135,250,90
18389,309069,339,131454,1,135,250,90
21979,305478,224,131427,1,135,250,90
29447,298007,449,129793,2,67,250,90
21572,305881,790,125114,1,135,250,90
19152,308606,394,129039,1,135,250,90
14381,313281,336,122179,1,135,250,90
46906,280552,168,129679,1,135,250,90
49022,278436,340,129215,1,135,250,90
15120,312338,282,129517,1,135,250,90
14701,312756,227,129077,1,135,250,90
16432,311026,170,126706,1,135,250,90
13395,314062,169,129222,1,135,250,90
13812,313647,168,129206,1,135,250,90
14328,313131,225,129085,1,135,250,90
13883,313574,224,129246,1,135,250,90
12889,314570,114,128955,1,135,250,90
21210,306250,338,131428,1,135,250,90
56727,270727,283,127896,1,135,250,90
31421,296037,283,129585,1,135,250,90
13815,313643,226,129586,1,135,250,90
13699,313758,112,128995,1,135,250,90
13804,313655,112,126777,1,135,250,90
14666,312791,282,128811,1,135,250,90
27882,299575,336,126708,2,67,250,90
16874,310584,621,127271,1,135,250,90
17461,309996,169,124332,1,135,250,90
12495,314964,56,129370,1,135,250,90
12535,314933,55,129429,1,135,250,90
33024,294443,110,129472,1,135,250,90
32574,294880,393,131467,2,67,250,90
45807,281651,315,124375,1,135,250,90
19076,308386,338,131510,1,135,250,90
15846,311607,281,127400,1,135,250,90
13882,313576,112,129057,1,135,250,90
12573,314884,57,129599,1,135,250,90
13592,313875,110,129648,1,135,250,90
16334,311127,392,131553,1,135,250,90
16960,310497,280,126472,1,135,250,90
17675,309780,449,127710,1,135,250,90
16565,310893,112,128962,1,135,250,90
46721,280737,113,129564,1,135,250,90
46383,281071,393,129749,2,67,250,90
37205,290275,397,129485,1,135,250,90
68908,258547,448,124768,2,67,250,90
