cpu,lpm,transmit,listen,hops,d,_R,_Nb
57357,925662,8737,375822,2,67,250,90
54254,928770,6736,370117,1,135,250,90
45033,282649,57,124270,2,67,250,90
52018,275672,469,130859,1,135,250,90
17449,310016,2223,125596,2,67,250,90
35221,292223,594,121551,1,135,250,90
22201,305258,443,128984,1,135,250,90
13525,313924,61,128008,2,67,250,90
23904,303563,4496,114705,2,67,250,90
28492,298964,2801,120939,1,135,250,90
22194,305491,4386,125162,2,67,250,90
25066,302379,368,128397,1,135,250,90
26347,301107,491,130999,1,135,250,90
27675,299779,592,131263,1,135,250,90
31371,296083,730,127344,1,135,250,90
28238,299219,811,128452,1,135,250,90
33010,294444,511,127969,1,135,250,90
72211,255244,664,125335,1,135,250,90
69990,257466,526,127731,1,135,250,90
31068,296389,803,129155,1,135,250,90
35286,292167,1116,124821,1,135,250,90
34255,293186,885,124720,1,135,250,90
28925,298530,530,127120,1,135,250,90
22315,305141,2327,123605,2,67,250,90
30163,297291,927,121507,1,135,250,90
28097,299356,654,124847,1,135,250,90
17883,309566,110,125616,2,67,250,90
48133,279309,964,129883,1,135,250,90
72423,255036,613,129942,1,135,250,90
73587,254050,543,128601,1,135,250,90
54296,273259,458,129940,1,135,250,90
30840,296838,682,127467,1,135,250,90
36413,291040,736,125752,1,135,250,90
34060,293395,804,127824,1,135,250,90
29327,298127,487,128609,1,135,250,90
29831,297623,741,122541,1,135,250,90
29169,298287,641,127233,1,135,250,90
71169,256275,624,124368,1,135,250,90
69283,258170,577,128218,1,135,250,90
31392,296064,486,131436,1,135,250,90
29144,298312,578,128319,1,135,250,90
29290,298166,623,124533,1,135,250,90
29399,298056,665,126488,1,135,250,90
29652,297800,692,128310,1,135,250,90
29458,297998,935,125435,1,135,250,90
29324,298129,803,124474,1,135,250,90
33422,294034,618,128262,1,135,250,90
73976,253479,835,125453,1,135,250,90
69126,258329,876,123736,1,135,250,90
46403,281055,580,127558,1,135,250,90
66140,261314,55,124577,2,67,250,90
30606,296847,943,123444,1,135,250,90
29352,298102,281,124828,2,67,250,90
27761,299695,862,127369,1,135,250,90
28570,298886,171,126605,2,67,250,90
32149,295305,958,120923,1,135,250,90
28486,298970,56,123428,2,67,250,90
31223,296233,1286,123138,1,135,250,90
28539,298924,170,127071,2,67,250,90
