cpu,lpm,transmit,listen,hops,d,_R,_Nb
74143,908939,10116,972892,2,67,250,90
15986,311686,162,327507,1,135,250,90
15278,312392,58,327611,2,67,250,90
26196,301253,2685,324746,1,135,250,90
22543,304918,2577,324866,2,67,250,90
15129,312315,157,327282,1,135,250,90
14505,312939,57,327385,2,67,250,90
15673,311787,157,327299,1,135,250,90
15011,312460,56,327414,2,67,250,90
19543,307908,157,327291,1,135,250,90
19518,307942,2578,324865,2,67,250,90
19583,307874,157,327294,1,135,250,90
14534,312911,58,327387,2,67,250,90
16419,311036,157,327293,1,135,250,90
14509,312956,55,327408,2,67,250,90
19890,307564,2674,324752,1,135,250,90
17601,309865,55,327409,2,67,250,90
15129,312315,158,327283,1,135,250,90
14504,312962,55,327409,2,67,250,90
15164,312293,158,327297,1,135,250,90
14538,312929,56,327410,2,67,250,90
16413,311045,156,327299,1,135,250,90
15749,311720,55,327412,2,67,250,90
16444,311012,157,327294,1,135,250,90
15785,311678,56,327407,2,67,250,90
16422,311033,157,327293,1,135,250,90
15795,311670,55,327408,2,67,250,90
16410,311046,156,327293,1,135,250,90
15816,311650,55,327409,2,67,250,90
19545,307911,157,327294,1,135,250,90
15784,311680,55,327408,2,67,250,90
16451,311006,157,327296,1,135,250,90
15826,311640,56,327410,2,67,250,90
16443,311013,157,327294,1,135,250,90
15784,311680,55,327408,2,67,250,90
16409,311046,155,327293,1,135,250,90
15785,311680,56,327409,2,67,250,90
16424,311032,156,327293,1,135,250,90
15830,311636,56,327410,2,67,250,90
16411,311045,156,327294,1,135,250,90
15785,311679,54,327408,2,67,250,90
16444,311013,158,327295,1,135,250,90
15785,311680,55,327407,2,67,250,90
22852,304602,2673,324755,1,135,250,90
22631,304833,2578,324867,2,67,250,90
15390,312056,159,327286,1,135,250,90
14722,312725,57,327389,2,67,250,90
16409,311043,157,327292,1,135,250,90
15784,311679,55,327407,2,67,250,90
16462,310995,158,327294,1,135,250,90
15835,311631,55,327408,2,67,250,90
16411,311044,157,327293,1,135,250,90
15784,311680,55,327408,2,67,250,90
16441,311016,156,327295,1,135,250,90
15785,311680,56,327409,2,67,250,90
16459,310997,156,327294,1,135,250,90
15864,311602,56,327411,2,67,250,90
16442,311014,157,327294,1,135,250,90
15816,311649,55,327409,2,67,250,90
16413,311042,159,327292,1,135,250,90
15784,311680,55,327408,2,67,250,90
16432,311024,156,327295,1,135,250,90
15806,311659,55,327409,2,67,250,90
16412,311044,157,327294,1,135,250,90
15816,311650,55,327408,2,67,250,90
16412,311044,157,327294,1,135,250,90
15784,311680,55,327408,2,67,250,90
16462,310995,156,327295,1,135,250,90
15867,311599,56,327411,2,67,250,90
16442,311014,157,327294,1,135,250,90
15816,311649,55,327409,2,67,250,90
16441,311015,155,327294,1,135,250,90
15785,311679,56,327408,2,67,250,90
16437,311018,157,327293,1,135,250,90
15811,311654,55,327408,2,67,250,90
22682,304774,157,327293,1,135,250,90
19904,307559,2565,324867,2,67,250,90
16416,311040,158,327292,1,135,250,90
14505,312939,58,327386,2,67,250,90
16470,310987,158,327295,1,135,250,90
14558,312909,55,327410,2,67,250,90
16473,310983,157,327295,1,135,250,90
14532,312934,55,327410,2,67,250,90
16412,311043,156,327294,1,135,250,90
14503,312962,55,327409,2,67,250,90
16476,310981,158,327294,1,135,250,90
14534,312932,55,327410,2,67,250,90
16414,311041,157,327293,1,135,250,90
14503,312962,55,327409,2,67,250,90
16414,311042,158,327293,1,135,250,90
14504,312962,55,327410,2,67,250,90
16474,310983,158,327294,1,135,250,90
14590,312877,55,327411,2,67,250,90
16442,311014,157,327295,1,135,250,90
14531,312934,54,327409,2,67,250,90
16443,311013,156,327294,1,135,250,90
14532,312934,55,327409,2,67,250,90
20378,307078,2676,324752,1,135,250,90
18367,309102,55,327413,2,67,250,90
16323,311361,158,327523,1,135,250,90
15685,311778,55,327407,2,67,250,90
16355,311101,158,327297,1,135,250,90
15685,311780,55,327409,2,67,250,90
16446,311011,158,327298,1,135,250,90
15848,311618,55,327410,2,67,250,90
16320,311135,158,327296,1,135,250,90
15685,311779,55,327408,2,67,250,90
16490,310967,157,327298,1,135,250,90
15815,311651,55,327410,2,67,250,90
16321,311134,159,327295,1,135,250,90
15723,311741,55,327408,2,67,250,90
16485,310972,156,327298,1,135,250,90
15815,311651,55,327410,2,67,250,90
16359,311096,157,327296,1,135,250,90
15685,311779,55,327408,2,67,250,90
16445,311012,157,327298,1,135,250,90
15852,311614,55,327410,2,67,250,90
16450,311006,157,327297,1,135,250,90
15815,311650,55,327409,2,67,250,90
16490,310966,156,327298,1,135,250,90
15685,311779,55,327408,2,67,250,90
16319,311136,157,327297,1,135,250,90
15727,311738,55,327409,2,67,250,90
19458,307998,157,327296,1,135,250,90
19180,308283,2575,324864,2,67,250,90
16369,311087,160,327295,1,135,250,90
13907,313537,58,327387,2,67,250,90
16478,310979,157,327299,1,135,250,90
13946,313519,55,327410,2,67,250,90
16321,311133,157,327295,1,135,250,90
13875,313590,55,327409,2,67,250,90
16366,311090,156,327296,1,135,250,90
13876,313589,55,327409,2,67,250,90
16322,311134,158,327296,1,135,250,90
13921,313544,55,327409,2,67,250,90
16451,311006,157,327298,1,135,250,90
13876,313590,55,327409,2,67,250,90
16368,311087,156,327296,1,135,250,90
13906,313559,55,327410,2,67,250,90
19609,307848,158,327299,1,135,250,90
13950,313515,55,327410,2,67,250,90
16322,311133,158,327296,1,135,250,90
13875,313590,55,327409,2,67,250,90
16370,311086,156,327296,1,135,250,90
13876,313589,55,327409,2,67,250,90
16322,311134,158,327296,1,135,250,90
13925,313540,55,327409,2,67,250,90
16451,311006,157,327298,1,135,250,90
13876,313590,55,327409,2,67,250,90
16372,311083,156,327296,1,135,250,90
13906,313559,55,327410,2,67,250,90
16448,311009,157,327298,1,135,250,90
13954,313511,55,327410,2,67,250,90
16438,311018,157,327298,1,135,250,90
13875,313590,55,327409,2,67,250,90
16374,311081,156,327295,1,135,250,90
13934,313531,55,327410,2,67,250,90
16451,311006,157,327297,1,135,250,90
13929,313536,55,327409,2,67,250,90
16321,311134,157,327297,1,135,250,90
13876,313590,55,327409,2,67,250,90
16506,310951,156,327297,1,135,250,90
13876,313589,55,327409,2,67,250,90
16449,311007,158,327297,1,135,250,90
13958,313507,55,327410,2,67,250,90
16321,311134,157,327296,1,135,250,90
13905,313560,55,327410,2,67,250,90
16378,311078,157,327296,1,135,250,90
13905,313560,55,327410,2,67,250,90
16321,311135,157,327296,1,135,250,90
13933,313532,55,327409,2,67,250,90
16322,311134,157,327296,1,135,250,90
13906,313560,55,327410,2,67,250,90
20715,306741,2674,324761,1,135,250,90
16980,310485,55,327409,2,67,250,90
14830,312617,157,327286,1,135,250,90
13963,313503,55,327411,2,67,250,90
14507,312947,157,327294,1,135,250,90
13906,313559,55,327410,2,67,250,90
14572,312884,158,327296,1,135,250,90
13876,313589,55,327409,2,67,250,90
14510,312946,157,327297,1,135,250,90
13937,313528,55,327409,2,67,250,90
14510,312946,157,327296,1,135,250,90
13876,313590,55,327409,2,67,250,90
14634,312823,157,327296,1,135,250,90
13875,313590,55,327409,2,67,250,90
14538,312918,157,327296,1,135,250,90
14347,313119,55,327410,2,67,250,90
14541,312915,158,327297,1,135,250,90
13875,313589,55,327407,2,67,250,90
14576,312879,158,327297,1,135,250,90
13875,313590,55,327409,2,67,250,90
14511,312945,158,327297,1,135,250,90
13941,313524,55,327409,2,67,250,90
14510,312946,157,327296,1,135,250,90
13906,313560,55,327410,2,67,250,90
14608,312849,157,327296,1,135,250,90
13876,313589,55,327409,2,67,250,90
15467,311992,156,327300,1,135,250,90
14982,312487,55,327414,2,67,250,90
15792,311661,157,327293,1,135,250,90
15157,312306,55,327406,2,67,250,90
15863,311592,159,327296,1,135,250,90
15157,312308,55,327408,2,67,250,90
19663,307791,2678,324759,1,135,250,90
18343,309122,55,327408,2,67,250,90
14508,312938,158,327286,1,135,250,90
15156,312309,55,327409,2,67,250,90
14581,312875,159,327297,1,135,250,90
15219,312247,55,327409,2,67,250,90
14564,312893,158,327298,1,135,250,90
15258,312208,55,327410,2,67,250,90
14507,312948,157,327295,1,135,250,90
15156,312308,55,327408,2,67,250,90
14582,312874,159,327297,1,135,250,90
15188,312278,54,327410,2,67,250,90
14507,312949,157,327296,1,135,250,90
15230,312234,55,327409,2,67,250,90
14539,312918,159,327296,1,135,250,90
15157,312308,56,327409,2,67,250,90
14583,312872,158,327297,1,135,250,90
15156,312309,54,327409,2,67,250,90
14534,312923,159,327297,1,135,250,90
15261,312205,54,327410,2,67,250,90
14538,312918,158,327296,1,135,250,90
15188,312277,55,327409,2,67,250,90
14616,312840,158,327296,1,135,250,90
15157,312307,56,327408,2,67,250,90
14508,312947,158,327297,1,135,250,90
15235,312230,55,327408,2,67,250,90
14508,312948,159,327297,1,135,250,90
15157,312308,56,327409,2,67,250,90
14589,312867,159,327297,1,135,250,90
15189,312277,55,327409,2,67,250,90
14564,312893,159,327297,1,135,250,90
15265,312200,55,327409,2,67,250,90
14507,312948,156,327295,1,135,250,90
15189,312277,55,327410,2,67,250,90
14591,312865,158,327296,1,135,250,90
15188,312277,55,327409,2,67,250,90
14509,312947,159,327296,1,135,250,90
15238,312226,55,327408,2,67,250,90
14507,312949,158,327297,1,135,250,90
15156,312309,55,327409,2,67,250,90
14622,312835,159,327297,1,135,250,90
15156,312309,54,327409,2,67,250,90
14533,312923,158,327297,1,135,250,90
15302,312164,54,327411,2,67,250,90
14508,312947,157,327296,1,135,250,90
15157,312307,55,327407,2,67,250,90
17734,309722,159,327297,1,135,250,90
18418,309045,2572,324875,2,67,250,90
14543,312914,157,327297,1,135,250,90
13991,313454,57,327387,2,67,250,90
14509,312946,158,327297,1,135,250,90
13875,313590,55,327408,2,67,250,90
14599,312857,159,327296,1,135,250,90
13905,313561,55,327410,2,67,250,90
14536,312921,158,327296,1,135,250,90
14017,313449,55,327409,2,67,250,90
14509,312946,157,327297,1,135,250,90
13874,313590,55,327408,2,67,250,90
14601,312855,158,327296,1,135,250,90
13875,313590,55,327409,2,67,250,90
14541,312916,158,327296,1,135,250,90
13965,313500,55,327409,2,67,250,90
14510,312945,158,327296,1,135,250,90
13876,313590,55,327410,2,67,250,90
14602,312854,158,327297,1,135,250,90
13875,313590,55,327409,2,67,250,90
14566,312891,158,327297,1,135,250,90
