cpu,lpm,transmit,listen,hops,d,_R,_Nb
18408,309263,58,327611,2,90,250,52
19584,308083,2681,324965,1,45,250,52
19410,308051,2578,324866,2,90,250,52
19179,308276,160,327294,1,45,250,52
14505,312939,58,327386,2,90,250,52
17857,309828,156,327526,1,45,250,52
15031,312440,56,327414,2,90,250,52
15766,311692,157,327299,1,45,250,52
19494,307966,2571,324865,2,90,250,52
19628,307826,161,327292,1,45,250,52
14534,312911,58,327387,2,90,250,52
16456,311001,159,327297,1,45,250,52
17610,309855,55,327408,2,90,250,52
22696,304758,2675,324752,1,45,250,52
14504,312962,55,327410,2,90,250,52
15135,312311,158,327286,1,45,250,52
14504,312962,55,327410,2,90,250,52
15139,312316,157,327297,1,45,250,52
14538,312929,55,327411,2,90,250,52
15256,312202,157,327298,1,45,250,52
15769,311700,55,327412,2,90,250,52
16459,310996,158,327296,1,45,250,52
15785,311678,56,327407,2,90,250,52
16428,311027,158,327294,1,45,250,52
15795,311670,55,327408,2,90,250,52
16420,311036,159,327295,1,45,250,52
15816,311650,55,327409,2,90,250,52
16417,311038,157,327296,1,45,250,52
18893,308571,55,327408,2,90,250,52
23519,303935,2675,324752,1,45,250,52
15826,311640,55,327410,2,90,250,52
15200,312248,157,327287,1,45,250,52
15784,311680,55,327408,2,90,250,52
15133,312321,157,327295,1,45,250,52
15785,311680,56,327409,2,90,250,52
15148,312308,158,327296,1,45,250,52
15830,311636,56,327410,2,90,250,52
15133,312322,157,327297,1,45,250,52
15785,311679,54,327408,2,90,250,52
15171,312286,156,327297,1,45,250,52
15785,311680,55,327407,2,90,250,52
15149,312306,157,327295,1,45,250,52
19493,307971,2575,324866,2,90,250,52
18382,309074,159,327295,1,45,250,52
14742,312705,58,327389,2,90,250,52
15485,311972,157,327297,1,45,250,52
15785,311678,56,327407,2,90,250,52
16467,310988,158,327295,1,45,250,52
15835,311631,55,327408,2,90,250,52
16418,311037,158,327296,1,45,250,52
15784,311680,55,327408,2,90,250,52
16458,310998,157,327297,1,45,250,52
15785,311680,56,327409,2,90,250,52
16438,311017,157,327295,1,45,250,52
15864,311602,56,327411,2,90,250,52
16478,310978,158,327298,1,45,250,52
15816,311649,55,327409,2,90,250,52
16417,311037,157,327296,1,45,250,52
15784,311680,55,327408,2,90,250,52
16446,311009,156,327297,1,45,250,52
15806,311659,55,327409,2,90,250,52
16420,311036,158,327296,1,45,250,52
15816,311650,55,327408,2,90,250,52
16418,311037,157,327296,1,45,250,52
15784,311680,55,327408,2,90,250,52
16442,311013,157,327296,1,45,250,52
15867,311599,56,327411,2,90,250,52
16485,310972,158,327299,1,45,250,52
15816,311649,55,327409,2,90,250,52
16449,311006,157,327297,1,45,250,52
15785,311679,56,327408,2,90,250,52
16441,311014,156,327297,1,45,250,52
15811,311654,55,327408,2,90,250,52
16417,311039,157,327297,1,45,250,52
23004,304459,2577,324871,2,90,250,52
26106,301348,2678,324750,1,45,250,52
14505,312939,57,327385,2,90,250,52
15162,312284,158,327287,1,45,250,52
14558,312909,55,327410,2,90,250,52
15214,312243,156,327296,1,45,250,52
14532,312934,55,327410,2,90,250,52
15132,312322,156,327295,1,45,250,52
14503,312962,55,327409,2,90,250,52
15191,312266,157,327297,1,45,250,52
14534,312932,55,327410,2,90,250,52
15134,312321,158,327295,1,45,250,52
14503,312962,55,327409,2,90,250,52
15133,312323,157,327297,1,45,250,52
14504,312962,55,327410,2,90,250,52
15164,312292,157,327297,1,45,250,52
14590,312877,55,327411,2,90,250,52
15189,312268,156,327297,1,45,250,52
14531,312934,54,327409,2,90,250,52
15162,312293,157,327295,1,45,250,52
14533,312933,55,327409,2,90,250,52
15166,312289,157,327295,1,45,250,52
15287,312182,55,327413,2,90,250,52
15996,311461,157,327299,1,45,250,52
15685,311778,55,327407,2,90,250,52
16318,311136,157,327295,1,45,250,52
15685,311780,55,327409,2,90,250,52
16355,311101,158,327297,1,45,250,52
15848,311618,55,327410,2,90,250,52
16446,311011,158,327298,1,45,250,52
15685,311779,55,327408,2,90,250,52
16450,311006,157,327298,1,45,250,52
15815,311651,55,327410,2,90,250,52
16356,311099,157,327297,1,45,250,52
15723,311741,55,327408,2,90,250,52
16318,311138,156,327297,1,45,250,52
15815,311651,55,327410,2,90,250,52
16320,311136,158,327295,1,45,250,52
15685,311779,55,327408,2,90,250,52
16358,311098,157,327297,1,45,250,52
15852,311614,55,327410,2,90,250,52
16476,310981,157,327298,1,45,250,52
15815,311650,55,327409,2,90,250,52
16319,311135,157,327294,1,45,250,52
15685,311779,55,327408,2,90,250,52
16361,311095,158,327297,1,45,250,52
15727,311738,55,327409,2,90,250,52
