cpu,lpm,transmit,listen,hops,d,_R,_Nb
70995,912087,10119,972878,2,67,250,90
81435,901648,7696,975318,1,135,250,90
18543,309127,58,327610,2,67,250,90
20300,307379,2681,324980,1,135,250,90
19258,308203,2572,324872,2,67,250,90
19654,308030,160,327521,1,135,250,90
14504,312940,57,327386,2,67,250,90
19650,307806,157,327297,1,135,250,90
18278,309193,56,327414,2,67,250,90
20663,306795,2677,324755,1,135,250,90
22454,305007,2573,324862,2,67,250,90
23474,303969,2679,324748,1,135,250,90
14534,312911,58,327387,2,67,250,90
15157,312289,158,327286,1,135,250,90
14509,312956,55,327408,2,67,250,90
18393,309063,157,327297,1,135,250,90
14504,312962,55,327409,2,67,250,90
15170,312286,158,327296,1,135,250,90
14504,312962,56,327409,2,67,250,90
15148,312307,157,327296,1,135,250,90
14635,312835,56,327413,2,67,250,90
15223,312234,157,327298,1,135,250,90
15817,311647,56,327408,2,67,250,90
16457,310999,156,327297,1,135,250,90
15785,311679,55,327408,2,67,250,90
16467,310988,157,327296,1,135,250,90
15795,311670,55,327408,2,67,250,90
16426,311029,157,327296,1,135,250,90
15816,311650,55,327409,2,67,250,90
16427,311029,158,327297,1,135,250,90
15784,311680,55,327408,2,67,250,90
16477,310980,158,327298,1,135,250,90
19064,308400,2576,324864,2,67,250,90
19678,307778,160,327293,1,135,250,90
14505,312938,58,327385,2,67,250,90
19682,307774,158,327297,1,135,250,90
14504,312962,55,327409,2,67,250,90
16438,311017,156,327296,1,135,250,90
14548,312919,55,327411,2,67,250,90
16457,310999,157,327298,1,135,250,90
14503,312962,55,327409,2,67,250,90
16425,311030,156,327295,1,135,250,90
14505,312961,55,327410,2,67,250,90
16447,311008,156,327296,1,135,250,90
17646,309821,55,327411,2,67,250,90
20474,306982,2679,324762,1,135,250,90
14887,312582,55,327413,2,67,250,90
15430,312017,158,327288,1,135,250,90
15784,311679,55,327407,2,67,250,90
16475,310980,156,327296,1,135,250,90
15835,311631,55,327408,2,67,250,90
16464,310992,157,327297,1,135,250,90
15784,311680,55,327408,2,67,250,90
16426,311029,157,327295,1,135,250,90
15785,311680,56,327409,2,67,250,90
16527,310930,158,327297,1,135,250,90
15864,311602,56,327411,2,67,250,90
16455,311001,156,327296,1,135,250,90
18930,308535,55,327409,2,67,250,90
20394,307060,2678,324754,1,135,250,90
15788,311677,55,327408,2,67,250,90
15194,312253,158,327286,1,135,250,90
15807,311658,55,327408,2,67,250,90
15171,312285,157,327296,1,135,250,90
15816,311650,55,327408,2,67,250,90
15142,312313,157,327295,1,135,250,90
15784,311680,55,327408,2,67,250,90
15172,312283,157,327296,1,135,250,90
15867,311599,56,327411,2,67,250,90
15167,312289,157,327296,1,135,250,90
15816,311649,55,327409,2,67,250,90
15170,312286,157,327295,1,135,250,90
15785,311679,56,327408,2,67,250,90
15167,312288,157,327296,1,135,250,90
15811,311654,55,327408,2,67,250,90
15149,312306,157,327297,1,135,250,90
19746,307717,2572,324868,2,67,250,90
18355,309100,159,327296,1,135,250,90
14504,312940,57,327386,2,67,250,90
15201,312256,157,327296,1,135,250,90
14558,312909,55,327410,2,67,250,90
15204,312253,159,327297,1,135,250,90
14532,312934,55,327410,2,67,250,90
18361,309093,158,327296,1,135,250,90
14503,312962,55,327409,2,67,250,90
15172,312284,156,327296,1,135,250,90
14534,312932,55,327410,2,67,250,90
15142,312313,157,327295,1,135,250,90
14503,312962,55,327409,2,67,250,90
15142,312313,157,327297,1,135,250,90
14504,312962,55,327410,2,67,250,90
15202,312254,157,327297,1,135,250,90
14590,312877,55,327411,2,67,250,90
15169,312287,157,327295,1,135,250,90
14531,312934,54,327409,2,67,250,90
15141,312314,158,327296,1,135,250,90
14532,312934,55,327409,2,67,250,90
15231,312225,158,327296,1,135,250,90
15431,312038,55,327413,2,67,250,90
15936,311521,158,327297,1,135,250,90
15686,311777,56,327407,2,67,250,90
16458,310997,157,327296,1,135,250,90
15685,311780,55,327409,2,67,250,90
16362,311093,157,327296,1,135,250,90
15848,311618,55,327410,2,67,250,90
16454,311003,157,327298,1,135,250,90
15685,311779,55,327408,2,67,250,90
