cpu,lpm,transmit,listen,hops,d,_R,_Nb
55323,927696,8666,460745,2,67,250,90
14987,312695,354,153047,1,135,250,90
13171,314511,58,155724,2,67,250,90
14617,312838,248,153237,1,135,250,90
17033,310430,2223,156443,2,67,250,90
18504,308951,2374,153442,1,135,250,90
12387,315059,57,154077,2,67,250,90
17022,310427,428,156983,1,135,250,90
12882,314589,55,155066,2,67,250,90
20029,307424,2515,148601,1,135,250,90
17522,309941,2271,150109,2,67,250,90
13826,313620,354,157041,1,135,250,90
12466,314980,114,160595,2,67,250,90
13357,314100,202,159152,1,135,250,90
12248,315209,57,159015,2,67,250,90
13692,313765,259,155247,1,135,250,90
12326,315141,55,153660,2,67,250,90
14185,313273,313,158889,1,135,250,90
12344,315123,55,155301,2,67,250,90
15113,312349,453,155819,1,135,250,90
12702,314769,110,155528,2,67,250,90
14309,313146,203,155982,1,135,250,90
13346,314109,56,158270,2,67,250,90
14457,313000,248,157563,1,135,250,90
13321,314146,55,159535,2,67,250,90
14507,312951,248,156796,1,135,250,90
13364,314104,55,159535,2,67,250,90
15931,311525,358,158550,1,135,250,90
13479,313987,55,155551,2,67,250,90
14297,313160,204,157521,1,135,250,90
13334,314133,55,159022,2,67,250,90
14821,312637,257,151078,1,135,250,90
14487,312981,165,158589,2,67,250,90
18587,308867,2367,153189,1,135,250,90
13474,313984,57,156114,2,67,250,90
13559,313887,259,156287,1,135,250,90
13344,314122,55,157754,2,67,250,90
14072,313386,260,152636,1,135,250,90
16518,310947,2221,158765,2,67,250,90
14551,312906,353,155655,1,135,250,90
12216,315230,57,160555,2,67,250,90
14330,313128,358,156363,1,135,250,90
12336,315131,55,155539,2,67,250,90
14605,312853,314,156064,1,135,250,90
12317,315150,55,157866,2,67,250,90
13755,313705,203,158807,1,135,250,90
12502,314967,55,159532,2,67,250,90
14300,313156,202,156002,1,135,250,90
13383,314083,55,157757,2,67,250,90
14319,313138,202,156531,1,135,250,90
13376,314090,55,157473,2,67,250,90
16452,311005,418,155130,1,135,250,90
13539,313929,55,153196,2,67,250,90
14474,312983,248,156527,1,135,250,90
13368,314099,56,158508,2,67,250,90
14546,312913,248,157565,1,135,250,90
13418,314049,55,157473,2,67,250,90
19097,308357,2427,154034,1,135,250,90
13601,313866,55,150869,2,67,250,90
14366,313080,368,155338,1,135,250,90
13409,314057,55,158562,2,67,250,90
14502,312956,259,156918,1,135,250,90
13435,314033,55,157081,2,67,250,90
14806,312652,404,156056,1,135,250,90
13603,313863,110,159843,2,67,250,90
14585,312872,316,156077,1,135,250,90
14580,312877,169,156978,2,67,250,90
13448,314009,205,152044,1,135,250,90
13434,314025,56,157381,2,67,250,90
14753,312705,451,155815,1,135,250,90
13585,313881,111,160577,2,67,250,90
13700,313758,295,157724,1,135,250,90
13362,314096,56,160309,2,67,250,90
13398,314060,248,156798,1,135,250,90
13363,314105,56,160043,2,67,250,90
13506,313952,258,156273,1,135,250,90
14304,313163,166,157748,2,67,250,90
14748,312709,374,154475,1,135,250,90
13675,313783,114,156886,2,67,250,90
14072,313386,261,155566,1,135,250,90
13382,314076,56,159530,2,67,250,90
14201,313256,311,156595,1,135,250,90
13383,314084,55,157469,2,67,250,90
17536,309922,922,151627,1,135,250,90
15261,312205,165,155225,2,67,250,90
13577,313881,260,157060,1,135,250,90
13346,314111,56,159805,2,67,250,90
13249,314208,204,154971,1,135,250,90
13345,314122,55,157992,2,67,250,90
13349,314108,203,156760,1,135,250,90
13306,314161,55,160043,2,67,250,90
13422,314035,249,157071,1,135,250,90
13468,314000,55,157469,2,67,250,90
15236,312221,369,155642,1,135,250,90
16986,310478,2212,155927,2,67,250,90
14591,312867,353,158278,1,135,250,90
12278,315168,57,160312,2,67,250,90
15900,311560,447,155162,1,135,250,90
14432,313038,165,151064,2,67,250,90
14401,313055,249,158359,1,135,250,90
13372,314084,56,157996,2,67,250,90
14913,312544,293,155632,1,135,250,90
13401,314065,55,159292,2,67,250,90
15777,311680,347,156892,1,135,250,90
13529,313937,55,154799,2,67,250,90
16069,311388,406,155657,1,135,250,90
13388,314078,55,154454,2,67,250,90
15586,311872,312,153129,1,135,250,90
13378,314089,55,157596,2,67,250,90
15139,312318,259,156579,1,135,250,90
13427,314040,55,157427,2,67,250,90
15415,312042,314,156062,1,135,250,90
13367,314099,55,157967,2,67,250,90
14327,313130,205,156519,1,135,250,90
13311,314156,55,158509,2,67,250,90
14331,313126,202,158574,1,135,250,90
13411,314056,55,158270,2,67,250,90
14321,313136,202,157549,1,135,250,90
13303,314163,55,159021,2,67,250,90
14254,313203,203,158545,1,135,250,90
13278,314189,55,160030,2,67,250,90
14317,313140,203,155485,1,135,250,90
