cpu,lpm,transmit,listen,hops,d,_R,_Nb
66712,916306,8651,278562,1,135,250,90
32587,295095,378,92378,1,135,250,90
72207,910815,8754,281473,2,67,250,90
20743,306726,2681,93610,1,135,250,90
21290,306166,651,94346,1,135,250,90
32483,295201,366,95913,2,67,250,90
34442,293028,594,95291,1,135,250,90
22634,304831,2442,94492,2,67,250,90
25650,301814,2924,93801,1,135,250,90
21319,306135,451,97347,2,67,250,90
33603,293867,450,98253,2,67,250,90
26436,301018,1081,90444,1,135,250,90
24210,303252,2505,91652,2,67,250,90
19290,308161,610,95533,2,67,250,90
35395,292059,899,93213,1,135,250,90
28210,299251,224,94822,2,67,250,90
22250,305218,478,96585,1,135,250,90
13478,313990,55,96560,2,67,250,90
27299,300167,644,91674,1,135,250,90
22773,304703,4372,93321,2,67,250,90
38190,289283,424,97117,1,135,250,90
25167,302294,56,94316,2,67,250,90
30030,297430,2753,93106,1,135,250,90
22621,304855,2273,95062,2,67,250,90
30812,296871,1096,91932,1,135,250,90
18859,308594,2330,94318,2,67,250,90
39514,287944,761,94088,1,135,250,90
26060,301398,112,93480,2,67,250,90
23620,303844,371,97163,1,135,250,90
15260,312207,55,96549,2,67,250,90
25288,302178,481,94886,1,135,250,90
18886,308591,2210,96316,2,67,250,90
37937,289530,676,95907,1,135,250,90
21156,306301,57,96122,2,67,250,90
26707,300758,524,96530,1,135,250,90
16157,311319,54,97322,2,67,250,90
32134,295332,785,97683,1,135,250,90
40842,286622,760,94654,1,135,250,90
16909,310574,326,97102,2,67,250,90
29960,297508,357,96801,1,135,250,90
30357,297112,328,96836,2,67,250,90
32624,294840,646,93119,1,135,250,90
21003,306461,386,95055,2,67,250,90
41765,285702,605,96371,1,135,250,90
32164,295300,575,96069,1,135,250,90
19069,308400,385,97740,2,67,250,90
33744,293721,533,94830,1,135,250,90
46112,281352,2745,96704,1,135,250,90
33296,294160,349,97671,1,135,250,90
22076,305392,110,98040,2,67,250,90
35351,292113,928,94744,1,135,250,90
39696,287766,552,92819,1,135,250,90
19697,307769,275,95481,2,67,250,90
32149,295319,275,96188,2,67,250,90
33999,293470,1083,97382,1,135,250,90
26873,300595,273,95285,2,67,250,90
32758,294696,856,93692,1,135,250,90
41983,285481,536,95670,1,135,250,90
32847,294619,523,97943,1,135,250,90
30844,296620,468,96610,1,135,250,90
34408,293062,110,96659,2,67,250,90
42312,285152,1048,91727,1,135,250,90
28614,298846,498,92429,2,67,250,90
23152,304316,219,98364,2,67,250,90
35056,292401,796,94649,1,135,250,90
25437,302025,496,96707,1,135,250,90
36624,290838,388,96764,2,67,250,90
31106,296356,2215,94956,2,67,250,90
38356,289109,860,94803,1,135,250,90
26579,301110,331,96578,2,67,250,90
36775,290693,444,93116,2,67,250,90
30176,297286,495,97026,2,67,250,90
22864,304602,328,96992,2,67,250,90
37651,289816,1001,92661,1,135,250,90
32111,295342,919,92457,1,135,250,90
41859,285606,629,96081,1,135,250,90
39935,287530,387,96996,2,67,250,90
35596,291870,756,96098,1,135,250,90
29010,298454,560,96886,1,135,250,90
31108,296355,553,96015,2,67,250,90
42343,285123,731,96379,1,135,250,90
37027,290436,666,95227,1,135,250,90
21747,305719,386,96406,2,67,250,90
29844,297623,165,95379,2,67,250,90
27010,300458,588,96444,1,135,250,90
40520,286944,421,95873,1,135,250,90
38853,288611,478,96872,1,135,250,90
28529,298937,276,97377,2,67,250,90
31142,296323,965,94550,1,135,250,90
47777,279688,3211,89856,1,135,250,90
21312,306155,220,98541,2,67,250,90
33139,294325,278,95584,2,67,250,90
31666,295801,332,97335,2,67,250,90
38849,288605,1413,89828,1,135,250,90
25604,301859,499,95451,2,67,250,90
31662,295805,57,96639,2,67,250,90
26707,300749,1027,90474,1,135,250,90
34143,293332,165,96612,2,67,250,90
34422,293207,590,94811,1,135,250,90
25184,302283,221,94574,2,67,250,90
37420,290146,508,93782,1,135,250,90
40643,286821,330,94383,2,67,250,90
33363,294101,496,94822,2,67,250,90
28509,298954,2767,95030,2,67,250,90
28016,299454,874,94294,1,135,250,90
44768,282921,701,97278,1,135,250,90
31585,295871,555,97742,2,67,250,90
40764,286700,642,95212,1,135,250,90
30341,297124,752,95382,1,135,250,90
32163,295303,329,98636,2,67,250,90
38477,288989,595,95142,1,135,250,90
24537,302927,778,96357,2,67,250,90
41793,285673,833,94014,1,135,250,90
27218,300248,280,94476,2,67,250,90
30796,296667,809,95355,1,135,250,90
41188,286275,561,94828,1,135,250,90
41768,285696,480,97270,1,135,250,90
28364,299101,441,97515,1,135,250,90
20068,307400,111,95241,2,67,250,90
40926,286539,698,93558,1,135,250,90
41404,286056,663,93367,1,135,250,90
26328,301138,278,96195,2,67,250,90
33900,293568,166,96031,2,67,250,90
28907,298562,827,96724,1,135,250,90
23190,304273,332,94515,2,67,250,90
38569,288894,973,90334,1,135,250,90
31786,295680,274,97207,2,67,250,90
35669,291798,110,97970,2,67,250,90
41186,286282,716,95736,1,135,250,90
25437,302027,440,96644,2,67,250,90
28738,298725,926,94067,1,135,250,90
34993,292472,442,97163,1,135,250,90
41728,285737,569,98964,1,135,250,90
33528,293939,110,97032,2,67,250,90
31190,296276,579,95944,1,135,250,90
39035,288427,460,96885,1,135,250,90
41298,286167,788,96125,1,135,250,90
30726,296739,614,96245,1,135,250,90
36630,290837,465,95011,1,135,250,90
26954,300510,443,97780,2,67,250,90
39222,288239,697,93488,1,135,250,90
34662,292802,550,94361,2,67,250,90
31555,295912,650,97658,1,135,250,90
37264,290201,328,96606,2,67,250,90
37047,290417,1008,95043,1,135,250,90
23621,303845,277,94217,2,67,250,90
31156,296310,275,94527,2,67,250,90
43850,283608,855,95466,1,135,250,90
38791,288674,111,92258,2,67,250,90
32113,295349,789,95308,1,135,250,90
26267,301199,222,97348,2,67,250,90
33589,292099,1003,91242,1,135,250,90
35044,292421,220,96700,2,67,250,90
42165,285301,386,97175,2,67,250,90
42108,285569,903,91440,1,135,250,90
30883,296581,277,97453,2,67,250,90
33268,294265,539,95953,1,135,250,90
39209,288257,221,95998,2,67,250,90
34255,293190,760,94570,1,135,250,90
42418,285046,329,94931,2,67,250,90
41617,285848,729,96347,1,135,250,90
33241,294222,866,96245,1,135,250,90
31061,296404,276,97255,2,67,250,90
41385,286081,388,93248,2,67,250,90
31970,295499,1054,91001,1,135,250,90
45898,281565,554,96545,2,67,250,90
34609,292854,497,94502,2,67,250,90
37050,290415,386,95254,2,67,250,90
