cpu,lpm,transmit,listen,hops,d,_R,_Nb
24523,302952,495,3841,1,135,250,90
33245,294229,432,3943,1,135,250,90
32593,294880,325,3726,1,135,250,90
32687,294804,325,3721,1,135,250,90
32657,294818,380,3883,1,135,250,90
32827,294852,433,3825,1,135,250,90
31464,295996,487,3839,1,135,250,90
31173,296301,378,3806,1,135,250,90
31465,296007,488,3841,1,135,250,90
31987,295485,435,3852,1,135,250,90
31446,296245,325,3721,1,135,250,90
31381,296091,325,3718,1,135,250,90
32024,295465,433,3935,1,135,250,90
31635,295838,488,3845,1,135,250,90
31499,295975,381,3790,1,135,250,90
31594,296120,325,3721,1,135,250,90
30669,296805,379,3759,1,135,250,90
31399,296073,379,3758,1,135,250,90
31344,296131,326,3718,1,135,250,90
31545,295928,380,3810,1,135,250,90
33029,294446,324,3676,1,135,250,90
32220,295253,379,3760,1,135,250,90
31067,296405,326,3836,1,135,250,90
31543,295913,488,3846,1,135,250,90
31342,296132,326,3780,1,135,250,90
32978,294493,325,3722,1,135,250,90
31867,295608,433,3757,1,135,250,90
30648,296824,379,3762,1,135,250,90
30779,296694,379,3839,1,135,250,90
30633,297049,378,3759,1,135,250,90
