cpu,lpm,transmit,listen,hops,d,_R,_Nb
62499,920641,8644,29689,1,135,250,90
20386,307193,564,10374,1,135,250,90
24420,303041,2550,10237,1,135,250,90
20586,306990,366,10256,2,67,250,90
24844,302619,621,10647,1,135,250,90
22935,304530,340,10471,2,67,250,90
27575,300113,440,10132,1,135,250,90
26311,301153,386,10346,1,135,250,90
35156,292309,2393,10109,1,135,250,90
31479,296211,331,10382,1,135,250,90
33377,294078,549,10356,1,135,250,90
32362,295102,441,10396,1,135,250,90
33276,294189,560,10527,1,135,250,90
34909,292556,726,10683,1,135,250,90
32293,295367,331,10256,1,135,250,90
31192,296499,332,10312,1,135,250,90
31836,295629,497,10335,1,135,250,90
35304,292159,329,10184,1,135,250,90
33781,293662,331,10391,1,135,250,90
31805,295659,442,10405,1,135,250,90
32609,294855,330,10454,1,135,250,90
33338,294129,331,10223,1,135,250,90
37245,290218,787,10563,1,135,250,90
33528,293928,386,10397,1,135,250,90
33435,294029,788,10516,1,135,250,90
31370,296096,332,10312,1,135,250,90
33435,294030,331,10211,1,135,250,90
33411,294052,277,10313,1,135,250,90
33411,294054,387,10227,1,135,250,90
32577,294888,783,10562,1,135,250,90
33310,294194,495,10434,1,135,250,90
33808,293656,385,10286,1,135,250,90
36898,290567,671,10609,1,135,250,90
34157,293307,495,10439,1,135,250,90
34925,292560,560,10599,1,135,250,90
32411,295029,330,10186,1,135,250,90
33904,293560,504,10255,1,135,250,90
34506,292959,499,10207,1,135,250,90
33616,293847,613,10646,1,135,250,90
31506,295958,495,10434,1,135,250,90
31762,295703,388,10255,1,135,250,90
32051,295415,440,10391,1,135,250,90
34008,293457,498,10313,1,135,250,90
31284,296160,388,10235,1,135,250,90
31250,296213,498,10459,1,135,250,90
33700,293764,558,10346,1,135,250,90
33640,293822,385,10231,1,135,250,90
34283,293182,440,10136,1,135,250,90
31920,295535,498,10302,1,135,250,90
31220,296244,494,10430,1,135,250,90
33300,294162,385,10307,1,135,250,90
31750,295715,441,10291,1,135,250,90
31137,296330,332,10315,1,135,250,90
32583,295112,330,10195,1,135,250,90
33376,294090,497,10474,1,135,250,90
34166,293299,497,10312,1,135,250,90
32485,294980,331,10338,1,135,250,90
33687,293777,332,10346,1,135,250,90
32784,294903,668,10654,1,135,250,90
33608,293857,722,10694,1,135,250,90
31407,296058,330,10185,1,135,250,90
32767,294698,330,10127,1,135,250,90
32126,295340,442,10391,1,135,250,90
31996,295469,330,10184,1,135,250,90
31206,296327,275,10135,1,135,250,90
33264,294201,332,10313,1,135,250,90
31513,296003,387,10389,1,135,250,90
32846,294830,497,10436,1,135,250,90
33299,294166,388,10234,1,135,250,90
32876,294588,442,10259,1,135,250,90
33144,294320,506,10432,1,135,250,90
32073,295389,385,10358,1,135,250,90
32915,294551,614,10454,1,135,250,90
34031,293433,331,10187,1,135,250,90
33493,293970,613,10610,1,135,250,90
32920,294543,496,10445,1,135,250,90
32525,294961,330,10320,1,135,250,90
33046,294643,386,10361,1,135,250,90
32760,294704,386,10414,1,135,250,90
32559,294907,442,10286,1,135,250,90
32290,295172,505,10413,1,135,250,90
32502,295092,331,10322,1,135,250,90
32279,295396,615,10554,1,135,250,90
31266,296199,498,10432,1,135,250,90
33358,294107,440,10405,1,135,250,90
32819,294647,441,10425,1,135,250,90
32419,295044,333,10309,1,135,250,90
35139,292326,723,10741,1,135,250,90
30994,296469,496,10353,1,135,250,90
32221,295355,387,10360,1,135,250,90
31949,295727,385,10414,1,135,250,90
32540,294924,331,10188,1,135,250,90
31995,295471,330,10187,1,135,250,90
32317,295147,387,10376,1,135,250,90
34023,293442,443,10394,1,135,250,90
33074,294393,321,10380,1,135,250,90
32360,295107,331,10221,1,135,250,90
31762,295703,331,10338,1,135,250,90
32566,294899,501,10430,1,135,250,90
33909,293557,787,10749,1,135,250,90
30807,296656,275,10266,1,135,250,90
33816,293649,578,10413,1,135,250,90
31386,296159,330,10315,1,135,250,90
32943,294722,498,10314,1,135,250,90
32608,294856,330,10380,1,135,250,90
31873,295592,615,10595,1,135,250,90
33065,294400,387,10351,1,135,250,90
35653,291811,495,10202,1,135,250,90
32535,294929,442,10297,1,135,250,90
34861,292605,441,10492,1,135,250,90
34056,293389,386,10361,1,135,250,90
34533,292931,616,10494,1,135,250,90
32605,294860,333,10181,1,135,250,90
33106,294407,331,10312,1,135,250,90
32669,295029,385,10227,1,135,250,90
33780,293684,330,10207,1,135,250,90
33197,294259,331,10308,1,135,250,90
33329,294117,615,10556,1,135,250,90
33712,293753,561,10542,1,135,250,90
32400,295065,560,10391,1,135,250,90
34544,292921,442,10399,1,135,250,90
32315,295151,442,10043,1,135,250,90
30980,296464,386,10224,1,135,250,90
33243,294222,668,10461,1,135,250,90
31565,296041,727,10509,1,135,250,90
31983,295482,274,10143,1,135,250,90
33870,293594,561,10559,1,135,250,90
33835,293630,220,10287,1,135,250,90
32839,294625,331,10046,1,135,250,90
33113,294352,386,10354,1,135,250,90
32062,295403,385,10096,1,135,250,90
31952,295512,496,10430,1,135,250,90
33607,294014,725,10547,1,135,250,90
33849,293617,553,10359,1,135,250,90
35665,291800,789,10819,1,135,250,90
35525,291940,785,10712,1,135,250,90
34233,293240,724,10402,1,135,250,90
33177,294289,443,10407,1,135,250,90
33092,294373,441,10265,1,135,250,90
30942,296521,498,10294,1,135,250,90
32778,294687,497,10438,1,135,250,90
34666,292799,332,10242,1,135,250,90
32280,295185,551,10485,1,135,250,90
30940,296504,388,10353,1,135,250,90
33406,294150,724,10382,1,135,250,90
32608,294856,443,10373,1,135,250,90
33820,293756,331,10313,1,135,250,90
32889,294800,330,10314,1,135,250,90
35006,292459,559,10550,1,135,250,90
33915,293549,615,10524,1,135,250,90
34152,293311,385,10268,1,135,250,90
33236,294231,444,10279,1,135,250,90
33998,293467,727,10512,1,135,250,90
30981,296485,331,10338,1,135,250,90
34588,292877,330,10277,1,135,250,90
33887,293578,496,10309,1,135,250,90
32510,294955,330,10187,1,135,250,90
32652,295025,442,10426,1,135,250,90
32827,294638,557,10545,1,135,250,90
35182,292283,954,10859,1,135,250,90
31748,295716,441,10396,1,135,250,90
32609,294857,560,10512,1,135,250,90
33267,294197,496,10367,1,135,250,90
34859,292605,442,10394,1,135,250,90
31543,295920,388,10350,1,135,250,90
33017,294680,331,10218,1,135,250,90
35822,291643,725,10537,1,135,250,90
33753,293712,330,10060,1,135,250,90
31371,296095,330,10311,1,135,250,90
31073,296390,496,10171,1,135,250,90
33111,294355,332,10322,1,135,250,90
32943,294521,551,10486,1,135,250,90
31991,295475,441,10264,1,135,250,90
32793,294671,496,10439,1,135,250,90
33498,293966,497,10329,1,135,250,90
34356,293109,440,10390,1,135,250,90
32859,294605,617,10583,1,135,250,90
32399,295063,567,10382,1,135,250,90
32735,294868,331,10194,1,135,250,90
32969,294722,329,10319,1,135,250,90
33305,294160,330,10349,1,135,250,90
34452,293012,668,10591,1,135,250,90
33802,293664,385,10229,1,135,250,90
31248,296216,330,10311,1,135,250,90
31701,295975,496,10304,1,135,250,90
31689,295776,386,10225,1,135,250,90
33420,294045,386,10227,1,135,250,90
33228,294237,442,10393,1,135,250,90
